offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x1C31C,0x1C32D,17,ascii,3,Beyond Coast....,,,
0x23AB4,0x23ADC,40,ascii,5,Where the heavens meet the\nearth.,,si,
0x2F166,0x2F16D,7,ascii,7,11221!(,,,
0x2F1A7,0x2F1AD,6,ascii,7,4E456(,,,
0x2F246,0x2F24D,7,ascii,7,34CRQ2),,,
0x369DC,0x36A04,40,ascii,9,Not a bit less mysterious than\nbefore.,,si,
0x40A38,0x40A40,8,ascii,11,SCIPPDTS,si,,
0x40A68,0x40A70,8,ascii,11,SCIPPDTS,si,,
0x40A98,0x40AA0,8,ascii,11,SDNSSDTS,si,,
0x40AC8,0x40AD0,8,ascii,11,SCIPPDTS,si,,
0x40AF8,0x40B00,8,ascii,11,SCIPPDTS,si,,
0x80A68,0x80A70,8,ascii,25,SCIPPDTS,si,,
0x80A98,0x80AA0,8,ascii,25,SCIPPDTS,si,,
0x80AC8,0x80AD0,8,ascii,25,SDNSSDTS,si,,
0x80AF8,0x80B00,8,ascii,25,SCIPPDTS,si,,
0x80B28,0x80B31,9,ascii,25,SCIPPDTS ,si,,
0xBCBAF,0xBCBB5,6,ascii,39,T: zB?,,,
0xBCC38,0xBCC3F,7,ascii,39,&Sd6t&S,,,
0xC0A38,0xC0A40,8,ascii,40,SCIPPDTS,si,,
0xC0A68,0xC0A70,8,ascii,40,SCIPPDTS,si,,
0xC0AC8,0xC0AD1,9,ascii,40,SCIPPDTS8,si,,
0xC0AF8,0xC0B01,9,ascii,40,SDNSSDTSD,si,,
0x100A08,0x100A11,9,ascii,54,SCIPPDTS,si,,
0x100A38,0x100A40,8,ascii,54,SCIPPDTS,si,,
0x100A68,0x100A71,9,ascii,54,SCIPPDTS(,si,,
0x100AC8,0x100AD1,9,ascii,54,SCIPPDTSP,si,,
0x138F09,0x138F0F,6,ascii,67,FWv}Fl,,,
0x140A38,0x140A40,8,ascii,68,SCIPPDTS,si,,
0x140A68,0x140A71,9,ascii,68,"SCIPPDTS,",si,,
0x140AC8,0x140AD1,9,ascii,68,SCIPPDTST,si,,
0x140AF8,0x140B01,9,ascii,68,SCIPPDTSh,si,,
0x15084E,0x150854,6,ascii,71,WvOs|0,,,
0x180A68,0x180A71,9,ascii,82,SDNSSDTSP,si,,
0x180A98,0x180AA1,9,ascii,82,SCIPPDTSX,si,,
0x180AC8,0x180AD1,9,ascii,82,SCIPPDTSl,si,,
0x180AF8,0x180B00,8,ascii,82,SCIPPDTS,si,,
0x180B28,0x180B30,8,ascii,82,SCIPPDTS,si,,
0x18FC45,0x18FC4F,10,ascii,85,!cc322/ CF,,,
0x18FC63,0x18FC69,6,ascii,85,1TCdu2,,,
0x1A567C,0x1A5682,6,ascii,91,HMJj?B,,,
0x1C0A68,0x1C0A70,8,ascii,97,SCIPPDTS,si,,
0x1C0A98,0x1C0AA0,8,ascii,97,SDNSSDTS,si,,
0x1C0AC8,0x1C0AD0,8,ascii,97,SCIPPDTS,si,,
0x1C0AF8,0x1C0B00,8,ascii,97,SCIPPDTS,si,,
0x1C0B28,0x1C0B30,8,ascii,97,SCIPPDTS,si,,
0x1CB0FE,0x1CB104,6,ascii,100,rU2Rm7,,,
0x1D5E58,0x1D5E5F,7,ascii,102,hR'cP6:,,,
0x1DFFB4,0x1DFFBA,6,ascii,105,QNb48r,,,
0x200A38,0x200A40,8,ascii,112,SCIPPDTS,si,,
0x200A68,0x200A70,8,ascii,112,SCIPPDTS,si,,
0x200A98,0x200AA0,8,ascii,112,SDNSSDTS,si,,
0x200AC8,0x200AD0,8,ascii,112,SCIPPDTS,si,,
0x200AF8,0x200B00,8,ascii,112,SCIPPDTS,si,,
0x23C0B3,0x23C0B9,6,ascii,125,8 l&0P,,,
0x240A38,0x240A40,8,ascii,126,SCIPPDTS,si,,
0x240A68,0x240A70,8,ascii,126,SCIPPDTS,si,,
0x240A98,0x240AA0,8,ascii,126,SCIPPDTS,si,,
0x240AC8,0x240AD0,8,ascii,126,SCIPPDTS,si,,
0x240AF8,0x240B00,8,ascii,126,SDNSSDTS,si,,
0x244A7B,0x244A82,7,ascii,127,C(f\nhO2,,,
0x274994,0x27499A,6,ascii,138,6?LJG9,,,
0x280AC8,0x280AD0,8,ascii,140,SCIPPDTS,si,,
0x280AF8,0x280B00,8,ascii,140,SCIPPDTS,si,,
0x280B28,0x280B31,9,ascii,140,SDNSSDTS0,si,,
0x280B58,0x280B61,9,ascii,140,SCIPPDTS0,si,,
0x280B88,0x280B91,9,ascii,140,SCIPPDTSD,si,,
0x2C0A68,0x2C0A71,9,ascii,157,SCIPPDTS4,si,,
0x2C0A98,0x2C0AA1,9,ascii,157,SCIPPDTSH,si,,
0x2C0AF8,0x2C0B01,9,ascii,157,SCIPPDTSp,si,,
0x2C0B28,0x2C0B30,8,ascii,157,SCIPPDTS,si,,
0x2C40D6,0x2C40DD,7,ascii,158,RR X?7f,,,
0x300828,0x300830,8,ascii,173,SCIPPDTS,si,,
