offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0xF30B,0xF312,7,ascii,0,C5ih&&M,,,
0x1A69D,0x1A6A3,6,ascii,5,"uJ""4aH",,,
0x1A6C3,0x1A6C9,6,ascii,5,SbPjD/,,,
0x2716C,0x27172,6,ascii,10,VkJr4H,,,
0x2C685,0x2C68F,10,ascii,12,!Fj4h &?b,,,
0x40AC8,0x40AD1,9,ascii,16,SCIPPDTSX,si,,
0x40AF8,0x40B01,9,ascii,16,SCIPPDTSl,si,,
0x40B28,0x40B31,9,ascii,16,SDNSSDTSp,,,
0x40B58,0x40B60,8,ascii,16,SCIPPDTS,si,,
0x40B88,0x40B90,8,ascii,16,SCIPPDTS,si,,
0x650CD,0x650D3,6,ascii,26,0!NKg:,,,
0x80A68,0x80A70,8,ascii,33,SCIPPDTS,si,,
0x80A98,0x80AA0,8,ascii,33,SCIPPDTS,si,,
0x80AC8,0x80AD0,8,ascii,33,SCIPPDTS,si,,
0x80AF8,0x80B00,8,ascii,33,SCIPPDTS,si,,
0x80B28,0x80B30,8,ascii,33,SCIPPDTS,si,,
0x83AC4,0x83ACA,6,ascii,34,Muz7Mw,,,
0x87C74,0x87C7A,6,ascii,35,/EL}vE,,,
0x87CED,0x87CF3,6,ascii,35,8:3jG+,,,
0xB2973,0xB2979,6,ascii,45,UgOPoX,,,
0xC0828,0xC0830,8,ascii,49,SCIPPDTS,si,,
0xC0858,0xC0860,8,ascii,49,SCIPPDTS,si,,
0xC0888,0xC0890,8,ascii,49,SCIPPDTS,si,,
