offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x106AA,0x106B0,6,ascii,0,0b?b1A,si,,
0x106B3,0x106BA,7,ascii,0,"r,5(J10",si,,
0x106F4,0x10718,36,ascii,0,Tokugawa has brought to market,,si,
0x13916,0x1391C,6,ascii,1,0b?b1A,si,,
0x1391F,0x13926,7,ascii,1,"r,5(J10",si,,
0x16B5E,0x16B64,6,ascii,2,0b?b1A,si,,
0x16B67,0x16B6E,7,ascii,2,"r,5(J10",si,,
0x19DA6,0x19DAC,6,ascii,3,0b?b1A,si,,
0x19DAF,0x19DB6,7,ascii,3,"r,5(J10",si,,
0x19DF0,0x19E1C,44,ascii,3,"numerous DDS products over the\nyears,",,si,
0x1D01A,0x1D020,6,ascii,4,0b?b1A,si,,
0x1D023,0x1D02A,7,ascii,4,"r,5(J10",si,,
0x23847,0x23870,41,ascii,6,?with the K Series as our main\nfocus.,,si,
0x31143,0x3114A,7,ascii,9,"r,5(J10",si,,
0x3A83C,0x3A870,52,ascii,12,"From K-1 to K-8, we have\ninvested great effort",,si,
0x40BB8,0x40BC1,9,ascii,13,"SCTEGOLD""",si,,
0x40BE8,0x40BF1,9,ascii,13,SCIPPDTS0,si,,
0x40C18,0x40C21,9,ascii,13,SCIPPDTSD,si,,
0x40C48,0x40C51,9,ascii,13,SCIPPDTSX,si,,
0x40C78,0x40C81,9,ascii,13,SCTEGOLDb,si,,
0x51CDC,0x51D0C,48,ascii,17,in developing new ways to conceal\nnarcotics.,,si,
0x5ED38,0x5ED59,33,ascii,21,"Unfortunately, until now we have",,si,
0x6C574,0x6C590,28,ascii,24,been unable to devise a DDS,,si,
0x72926,0x7292D,7,ascii,26,L5VJ H,,,
0x75B70,0x75B91,33,ascii,27,that would allow us to sell Narc,,si,
0x80BB8,0x80BC1,9,ascii,30,SCIPPDTSp,si,,
0x80BE8,0x80BF0,8,ascii,30,SCIPPDTS,si,,
0x80C18,0x80C20,8,ascii,30,SCIPPDTS,si,,
0x80C48,0x80C50,8,ascii,30,SDNSSDTS,si,,
0x80C78,0x80C80,8,ascii,30,SCTEGOLD,si,,
0x8B424,0x8B443,31,ascii,32,as to be obtainable by anyone.,,si,
0x94FB0,0x94FD8,40,ascii,35,"However, with our newest K\nSeries DDS,",,si,
0xA2B40,0xA2B46,6,ascii,38," !cED""",,,
0xA6004,0xA6020,28,ascii,39,we have created a product,,si,
0xAC4CC,0xAC4EF,35,ascii,41,that has made this goal a reality.,,si,
0xC0CD8,0xC0CE1,9,ascii,46,SCIPPDTS(,si,,
0xC0D38,0xC0D41,9,ascii,46,SCIPPDTSP,si,,
0xC0D68,0xC0D71,9,ascii,46,SCIPPDTSd,si,,
0xC0D98,0xC0DA1,9,ascii,46,SCTEGOLDi,si,,
0xCDF0C,0xCDF3C,48,ascii,51,"Presenting Tokugawa's latest\ndevelopment,",,,
0xD2944,0xD294B,7,ascii,53,()?JQBP,,,
0xD299C,0xD29B3,23,ascii,53,"the Narc capsule, K-9.",,si,
0xEE504,0xEE53C,56,ascii,62,Allow us to explain its advanced\nconcealment system.,,si,
0x100C18,0x100C20,8,ascii,69,SCIPPDTS,si,,
0x100C48,0x100C50,8,ascii,69,SDNSSDTS,si,,
0x100C78,0x100C80,8,ascii,69,SCTEGOLD,si,,
0x100CA8,0x100CB0,8,ascii,69,SCIPPDTS,si,,
0x100CD8,0x100CE0,8,ascii,69,SCIPPDTS,si,,
0x1099C4,0x1099F4,48,ascii,71,is the placement of Narc in the\ngelatin,,si,
0x110D5C,0x110D88,44,ascii,74,of the capsule containing a given\nproduct.,,si,
0x11BCAC,0x11BCD8,44,ascii,77,"Thus, it is possible to conceal Narc",,si,
0x127D44,0x127D7D,57,ascii,81,"not only in prescription and\nover-the-counter drugs,",,si,
0x12AE8B,0x12AE91,6,ascii,82,Gj2aH-,,,
0x137A48,0x137A65,29,ascii,85,but in virtually any product ,,si,
0x137A69,0x137AA1,56,ascii,85,"|even designer and functional\nfoods, for example.",,si,
0x140B58,0x140B60,8,ascii,87,SDNSSDTS,si,,
0x140B88,0x140B90,8,ascii,87,SCIPPDTS,si,,
0x140BB8,0x140BC0,8,ascii,87,SCTEGOLD,si,,
0x140BE8,0x140BF0,8,ascii,87,SCIPPDTS,si,,
0x140C18,0x140C21,9,ascii,87,SCIPPDTS ,si,,
0x14F15C,0x14F1C1,101,ascii,91,"In other words, by changing the\ninner contents, one can distribute\nNarc wherever one wants.",,si,
0x169398,0x1693C8,48,ascii,98,"Hospitals, pharmacies,\nsupermarkets....",,,
0x17A178,0x17A198,32,ascii,102,The sales routes are limitless.,,si,
0x180B58,0x180B61,9,ascii,104,SCIPPDTS8,si,,
0x180B88,0x180B91,9,ascii,104,SCIPPDTSL,si,,
0x180BB8,0x180BC1,9,ascii,104,SCTEGOLDR,si,,
0x18737B,0x187381,6,ascii,106,5J|6u},,,
0x18DA6C,0x18DAAF,67,ascii,108,"Also, as Narc capsules are\ntwo-part capsules instead of\ngelcaps,",,si,
0x1A3F52,0x1A3F58,6,ascii,113,!2g|vZ,,,
0x1A3FE8,0x1A4039,81,ascii,113,it is possible for even the\nindividual to substitute contents\nquite easily.,,si,
0x1C0C48,0x1C0C50,8,ascii,119,SCTEGOLD,si,,
0x1C0C78,0x1C0C80,8,ascii,119,SCIPPDTS,si,,
0x1C0CA8,0x1C0CB0,8,ascii,119,SCIPPDTS,si,,
0x1C0CD8,0x1C0CE0,8,ascii,119,SCIPPDTS,si,,
0x1C0D08,0x1C0D10,8,ascii,119,SCIPPDTS,si,,
0x1C81FB,0x1C8202,7,ascii,121,5sgy(B),,,
0x1D1D26,0x1D1D2C,6,ascii,124,"cv52V""",,,
0x1D1DB4,0x1D1DEF,59,ascii,124,"No matter how well Narc is hidden\ninside a given capsule,",,si,
0x1D56EC,0x1D5740,84,ascii,128,distributing it on the market\ndirectly in that form still carries\nextreme risk.,,si,
0x1E7374,0x1E73A0,44,ascii,133,"However, our revolutionary\ntechnology",,si,
0x1F122E,0x1F1234,6,ascii,136,Kl7?(3,,,
0x1F1238,0x1F1275,61,ascii,136,has succeeded in chemically\nseparating Narc itself in half.,,si,
0x208088,0x2080B8,48,ascii,141,"By placing these halves in different\ncapsules,",,si,
0x216B38,0x216B60,40,ascii,145,the effects of Narc are only seen,,si,
0x21E4A4,0x21E4D8,52,ascii,147,after two capsules have been\ntaken simultaneously.,,si,
0x2260FA,0x226100,6,ascii,148,"D4 1D""",,,
0x238EB3,0x238EE8,53,ascii,153,"'We here at Tokugawa call it a\n""binary narcotic"".",,si,
0x24F97C,0x24F9D8,92,ascii,158,"This two-tiered safety system,\nwhich consists of separating Narc\ninto two halves,",,si,
0x2697B8,0x2697F0,56,ascii,164,"and then placing the halves in\ndifferent capsules,",,si,
0x2743E8,0x274403,27,ascii,167,is virtually impenetrable.,,si,
0x280AF8,0x280B01,9,ascii,170,SCTEGOLD3,si,,
0x280B28,0x280B31,9,ascii,170,SCIPPDTS8,si,,
0x280B58,0x280B61,9,ascii,170,SCIPPDTSL,si,,
0x28BB38,0x28BB84,76,ascii,172,It also eliminates lost profits and\ninterference from law\nenforcement.,,si,
0x2A090C,0x2A0947,59,ascii,178,"Furthermore, as Narc capsules\ndissolve evenly and rapidly",,si,
0x2B0DC6,0x2B0DCC,6,ascii,181,)I5(Dl,si,,
0x2B0E30,0x2B0E89,89,ascii,181,"even in zero gravity, they can\ntherefore be used in space or\nweightless areas",,si,
0x2B8E4D,0x2B8E54,7,ascii,183,?lC?K37,si,,
0x2C0B28,0x2C0B31,9,ascii,184,SCIPPDTSP,si,,
0x2C0B58,0x2C0B61,9,ascii,184,SCTEGOLDT,si,,
0x2C0B88,0x2C0B91,9,ascii,184,SCIPPDTSd,si,,
0x2C0BB8,0x2C0BC1,9,ascii,184,SCIPPDTSx,si,,
0x2C0BE8,0x2C0BF0,8,ascii,184,SCIPPDTS,si,,
0x2C893C,0x2C894F,19,ascii,186,without a problem.,,,
0x2D46AE,0x2D46B4,6,ascii,188,Kl7?(3,,,
0x2DFD8D,0x2DFD94,7,ascii,191,?lC?K37,si,,
0x2E3938,0x2E3988,80,ascii,192,We will now explain how to\ndifferentiate between the separate\ncapsules.,,si,
0x2F2808,0x2F280E,6,ascii,195,)I5(Dl,si,,
0x2F6152,0x2F6158,6,ascii,196,)I5(Dl,si,,
0x2F61BC,0x2F61D4,24,ascii,196,It is extremely simple.,,si,
0x300B28,0x300B31,9,ascii,199,SCIPPDTS|,si,,
0x300B58,0x300B60,8,ascii,199,SCTEGOLD,si,,
0x300B88,0x300B90,8,ascii,199,SCIPPDTS,si,,
0x300BB8,0x300BC0,8,ascii,199,SCIPPDTS,si,,
0x300BE8,0x300BF0,8,ascii,199,SCIPPDTS,si,,
0x30427E,0x304284,6,ascii,200,I-()l5,si,,
0x3042EC,0x304314,40,ascii,200,"There is a symbol on each\ncapsule,",,si,
0x3079E8,0x307A20,56,ascii,201,which also serves as its drug\nidentification code.,,si,
0x31D3C0,0x31D3E4,36,ascii,206,That symbol is the Tokugawa\ncrest.,,si,
0x333E10,0x333E3F,47,ascii,211,You will notice part of the crest is\nmissing.,,si,
0x340B28,0x340B30,8,ascii,214,SDNSSDTS,si,,
0x340B58,0x340B60,8,ascii,214,SCIPPDTS,si,,
0x340B88,0x340B90,8,ascii,214,SCIPPDTS,si,,
0x340BB8,0x340BC0,8,ascii,214,SCTEGOLD,si,,
0x340BE8,0x340BF0,8,ascii,214,SCIPPDTS,si,,
0x344432,0x344438,6,ascii,215,)I5(Dl,si,,
0x347BC4,0x347C10,76,ascii,216,Simultaneously ingesting two\ncapsules with different missing\nsections,,si,
0x352C62,0x352C68,6,ascii,218,  B3D3,,,
0x35D97D,0x35D984,7,ascii,221,?lC?K37,si,,
0x35D988,0x35D99C,20,ascii,221,will activate Narc.,,si,
0x367E86,0x367E8C,6,ascii,224,)I5(Dl,si,,
0x36B4D8,0x36B4F9,33,ascii,225,Taking only one capsule will not,,si,
0x372B81,0x372B89,8,ascii,226, BS4T3TD,,,
0x379968,0x379993,43,ascii,228,trigger any of Narc's effects\nwhatsoever.,,si,
0x380B28,0x380B30,8,ascii,229,SDNSSDTS,si,,
0x380B58,0x380B60,8,ascii,229,SCIPPDTS,si,,
0x380B88,0x380B90,8,ascii,229,SCIPPDTS,si,,
0x380BB8,0x380BC0,8,ascii,229,SCIPPDTS,si,,
0x392CC9,0x392CDD,20,ascii,233,"CF4Therefore,",si,,
0x396580,0x3965B8,56,ascii,234,there is no cause for concern\nover accidental use.,,si,
0x39D521,0x39D52A,9,ascii,236,"0PZBVyC5,",,,
0x3AAF9C,0x3AAFCB,47,ascii,240,"""Unity with Tokugawa"", as we\nlike to call it.",,si,
0x3B8CEF,0x3B8CF6,7,ascii,243,?lC?K37,si,,
0x3C0BB8,0x3C0BC1,9,ascii,245,"SCTEGOLD,",si,,
0x3C0C18,0x3C0C21,9,ascii,245,SCTEGOLDJ,si,,
0x3C0C48,0x3C0C51,9,ascii,245,SCIPPDTSP,si,,
0x3C0C78,0x3C0C81,9,ascii,245,SCIPPDTSd,si,,
0x3C4039,0x3C4040,7,ascii,246,?lC?K37,si,,
0x3C748C,0x3C74B4,40,ascii,247,"Finally, this system is also safe",,si,
0x3CA8DA,0x3CA8E0,6,ascii,248,)I5(Dl,si,,
0x3D1F03,0x3D1F0A,7,ascii,249,"D""""CCBD",,,
0x3D1F13,0x3D1F1D,10,ascii,249,"2CEUC""!A!(",si,,
0x3D1F2A,0x3D1F4F,37,ascii,249,OFfrom all drug detection equipment.,,si,
0x3E3210,0x3E3244,52,ascii,254,Detection by any current device is\nimpossible.,,si,
0x3EA066,0x3EA06C,6,ascii,256,)I5(Dl,si,,
0x3F4F36,0x3F4F3C,6,ascii,258,I-()l5,si,,
0x3F4FA4,0x3F4FBC,24,ascii,258,"Ladies and gentlemen,",,si,
0x3F8754,0x3F877B,39,ascii,259,"we give you K-9, the Narc\ncapsule DDS",,si,
0x400AF8,0x400B01,9,ascii,261,SCTEGOLDE,si,,
0x400B28,0x400B31,9,ascii,261,SCIPPDTST,si,,
0x400B58,0x400B61,9,ascii,261,SCIPPDTSh,si,,
0x400B88,0x400B91,9,ascii,261,SCIPPDTS|,si,,
0x400BB8,0x400BC0,8,ascii,261,SCIPPDTS,si,,
0x404AC2,0x404AC8,6,ascii,262,I-()l5,si,,
0x404B2A,0x404B30,6,ascii,262,Kl7?(3,,,
0x408CA0,0x408CBB,27,ascii,263,made possible only through,,si,
0x41ADD8,0x41AE08,48,ascii,267,the superior technology of the\nTokugawa Group.,,si,
0x430A20,0x430A26,6,ascii,272,D%5eE1,,,
0x430A33,0x430A39,6,ascii,272,0Ud6!&,,,
0x430A48,0x430A8C,68,ascii,272,"We trust this presentation\nanswered any remaining\nquestions,",,si,
0x440AC8,0x440AD0,8,ascii,276,SDNSSDTS,si,,
0x440AF8,0x440B00,8,ascii,276,SCIPPDTS,si,,
0x440B28,0x440B30,8,ascii,276,SCIPPDTS,si,,
0x440B58,0x440B60,8,ascii,276,SCIPPDTS,si,,
0x440B88,0x440B90,8,ascii,276,SCIPPDTS,si,,
0x444024,0x444054,48,ascii,277,and we look forward to working\ntogether.,,si,
0x447494,0x44749A,6,ascii,278,CjrrqF,,,
0x44A954,0x44A95A,6,ascii,279,CjrrqF,,,
0x45F2E9,0x45F2F0,7,ascii,284,",jbrCFr",si,,
0x462849,0x462850,7,ascii,285,",jbrCFr",si,,
0x465DA9,0x465DB0,7,ascii,286,",jbrCFr",si,,
0x4693C6,0x4693CC,6,ascii,287,Kl7?(3,,,
0x47087C,0x470882,6,ascii,288,"BD%2""""",,,
0x470958,0x47095E,6,ascii,288,OU6E4A,,,
0x473F0E,0x473F14,6,ascii,289,Kl7?(3,,,
0x477509,0x477510,7,ascii,290,?lC?K37,si,,
0x47AB05,0x47AB0C,7,ascii,291,?lC?K37,si,,
0x480A98,0x480AA0,8,ascii,292,SDNSSDTS,si,,
0x480AC8,0x480AD0,8,ascii,292,SCIPPDTS,si,,
0x480AF8,0x480B00,8,ascii,292,SCIPPDTS,si,,
0x480B28,0x480B30,8,ascii,292,SCIPPDTS,si,,
0x480B58,0x480B60,8,ascii,292,SCIPPDTS,si,,
0x492389,0x49238F,6,ascii,296,"12""T53",,,
0x49C70A,0x49C711,7,ascii,299,MLnHHN1,,,
0x4A3403,0x4A340A,7,ascii,301,?lC?K37,si,,
0x4C0A98,0x4C0AA1,9,ascii,308,SCIPPDTS,si,,
0x4C0AC8,0x4C0AD0,8,ascii,308,SCIPPDTS,si,,
0x4C0AF8,0x4C0B01,9,ascii,308,SCIPPDTS(,si,,
0x4C0B58,0x4C0B61,9,ascii,308,SCIPPDTSP,si,,
0x4CE56F,0x4CE575,6,ascii,311,"1!""14!",,,
0x4DB88B,0x4DB892,7,ascii,315,?lC?K37,si,,
0x4ED25B,0x4ED265,10,ascii,319,!B322C4TDD,si,,
0x500AC8,0x500AD1,9,ascii,324,SCIPPDTST,si,,
0x500AF8,0x500B01,9,ascii,324,SCIPPDTSh,si,,
0x500B28,0x500B31,9,ascii,324,SCIPPDTS|,si,,
0x500B58,0x500B60,8,ascii,324,SCIPPDTS,si,,
0x518E91,0x518E99,8,ascii,330,eg0V|(Ca,,,
0x51F754,0x51F75A,6,ascii,332,Kl7?(3,,,
0x522BC7,0x522BCD,6,ascii,333,M?wK6?,,,
0x522C59,0x522C60,7,ascii,333,?lC?K37,si,,
0x5309C7,0x5309CE,7,ascii,336,?lC?K37,si,,
0x540A98,0x540AA0,8,ascii,340,SCIPPDTS,si,,
0x540AC8,0x540AD0,8,ascii,340,SCIPPDTS,si,,
0x540AF8,0x540B00,8,ascii,340,SCIPPDTS,si,,
0x540B28,0x540B30,8,ascii,340,SCIPPDTS,si,,
0x540B58,0x540B60,8,ascii,340,SCIPPDTS,si,,
0x54770E,0x547714,6,ascii,342,Kl7?(3,,,
0x54ECE5,0x54ECED,8,ascii,343,!1RDdB%,,,
0x56A4AD,0x56A4B4,7,ascii,350,!1EBB4e,,,
0x56A4CC,0x56A4D2,6,ascii,350,1CECB3,,,
0x56D928,0x56D92E,6,ascii,351, EB'cI,,,
0x5741D7,0x5741DE,7,ascii,353,?lC?K37,si,,
0x57A9A8,0x57A9AE,6,ascii,355,Kl7?(3,,,
0x580A98,0x580AA0,8,ascii,356,SCIPPDTS,si,,
0x580AC8,0x580AD0,8,ascii,356,SCIPPDTS,si,,
0x580AF8,0x580B00,8,ascii,356,SCIPPDTS,si,,
0x580B28,0x580B30,8,ascii,356,SCIPPDTS,si,,
0x580B58,0x580B60,8,ascii,356,SCIPPDTS,si,,
0x59595F,0x595965,6,ascii,361,dP(rg1,,,
0x59907B,0x599082,7,ascii,362,?lC?K37,si,,
0x59C639,0x59C63F,6,ascii,363,dP(rg1,,,
0x5C0A98,0x5C0AA1,9,ascii,372,SCIPPDTS,si,,
0x5C0AC8,0x5C0AD0,8,ascii,372,SCIPPDTS,si,,
0x5C0AF8,0x5C0B01,9,ascii,372,SCIPPDTS(,si,,
0x5C0B58,0x5C0B61,9,ascii,372,SCIPPDTSP,si,,
0x5E9CDD,0x5E9CE9,12,ascii,382,3Td35312SVf',si,,
0x5E9D72,0x5E9D78,6,ascii,382,"""dE31A",,,
0x5F15B6,0x5F15BD,7,ascii,384,dKNf}eg,,,
0x5FBC8D,0x5FBC93,6,ascii,387,+ew?7:,,,
0x5FBCF3,0x5FBCF9,6,ascii,387,B}?eE7,,,
0x600A68,0x600A71,9,ascii,388,"SCIPPDTS,",si,,
0x600AC8,0x600AD1,9,ascii,388,SCIPPDTST,si,,
0x600AF8,0x600B01,9,ascii,388,SCIPPDTSh,si,,
0x600B28,0x600B31,9,ascii,388,SCIPPDTS|,si,,
0x640A68,0x640A74,12,ascii,403,SCIPPDTSX ,si,,
0x640A98,0x640AA4,12,ascii,403,SCIPPDTSl ,si,,
0x640AC8,0x640AD0,8,ascii,403,SCIPPDTS,si,,
0x640AF8,0x640B00,8,ascii,403,SCIPPDTS,si,,
0x640B28,0x640B30,8,ascii,403,SCIPPDTS,si,,
0x680A68,0x680A70,8,ascii,418,SCIPPDTS,si,,
0x680A98,0x680AA0,8,ascii,418,SCIPPDTS,si,,
0x680AC8,0x680AD0,8,ascii,418,SCIPPDTS,si,,
0x680AF8,0x680B00,8,ascii,418,SCIPPDTS,si,,
0x680B28,0x680B30,8,ascii,418,SCIPPDTS,si,,
0x6C0A68,0x6C0A70,8,ascii,433,SDNSSDTS,si,,
0x6C0A98,0x6C0AA0,8,ascii,433,SCIPPDTS,si,,
0x6C0AC8,0x6C0AD0,8,ascii,433,SCIPPDTS,si,,
0x6C0AF8,0x6C0B00,8,ascii,433,SCIPPDTS,si,,
0x6C0B28,0x6C0B31,9,ascii,433,SCIPPDTS,si,,
0x700A68,0x700A70,8,ascii,448,SCIPPDTS,si,,
0x700A98,0x700AA0,8,ascii,448,SDNSSDTS,si,,
0x700AC8,0x700AD0,8,ascii,448,SCIPPDTS,si,,
0x700AF8,0x700B00,8,ascii,448,SCIPPDTS,si,,
0x740A68,0x740A70,8,ascii,463,SCIPPDTS,si,,
0x740A98,0x740AA4,12,ascii,463,"SDNSSDTS,%",si,,
0x740AC8,0x740AD4,12,ascii,463,SCIPPDTS0%,si,,
0x740AF8,0x740B04,12,ascii,463,SCIPPDTSD%,si,,
0x740B28,0x740B34,12,ascii,463,SCIPPDTSX%,si,,
0x752F1A,0x752F21,7,ascii,467,DC755!',,,
0x752F32,0x752F3D,11,ascii,467,"D4CdD%3C3""",si,,
0x752F4B,0x752F51,6,ascii,467,214TC(,,,
0x780A68,0x780A74,12,ascii,478,SCIPPDTSH&,si,,
0x780AC8,0x780AD4,12,ascii,478,SDNSSDTSd&,si,,
0x780AF8,0x780B04,12,ascii,478,SCIPPDTSp&,si,,
0x780B28,0x780B30,8,ascii,478,SCIPPDTS,si,,
0x7C0A68,0x7C0A74,12,ascii,493,SCIPPDTSt',si,,
0x7C0A98,0x7C0AA0,8,ascii,493,SCIPPDTS,si,,
0x7C0AC8,0x7C0AD0,8,ascii,493,SDNSSDTS,si,,
0x7C0AF8,0x7C0B00,8,ascii,493,SCIPPDTS,si,,
0x7C0B28,0x7C0B30,8,ascii,493,SCIPPDTS,si,,
0x800A98,0x800AA0,8,ascii,508,SCIPPDTS,si,,
0x800AC8,0x800AD0,8,ascii,508,SCIPPDTS,si,,
0x800AF8,0x800B00,8,ascii,508,SDNSSDTS,si,,
0x800B28,0x800B30,8,ascii,508,SCIPPDTS,si,,
0x800B58,0x800B60,8,ascii,508,SCIPPDTS,si,,
0x82D758,0x82D75F,7,ascii,520,wM1|paY,,,
0x830914,0x83091A,6,ascii,521,Kl7?(3,,,
0x840AC8,0x840AD0,8,ascii,524,SCIPPDTS,si,,
0x840AF8,0x840B00,8,ascii,524,SDNSSDTS,si,,
0x840B28,0x840B30,8,ascii,524,SCIPPDTS,si,,
