offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x115B4,0x115CC,24,ascii,0,Something's moving!,,,
0x20BDC,0x20BEC,16,ascii,4,It's Ishida!,,,
0x2EBE0,0x2EC05,37,ascii,7,God damn! Ishida was the\ninformant?,,si,
0x322BE,0x322C4,6,ascii,8,K}VV1U,,,
0x40A68,0x40A70,8,ascii,11,SCIPPDTS,si,,
0x40A98,0x40AA0,8,ascii,11,SDNSSDTS,si,,
0x40AC8,0x40AD0,8,ascii,11,SCIPPDTS,si,,
0x40AF8,0x40B00,8,ascii,11,SCIPPDTS,si,,
0x40B28,0x40B30,8,ascii,11,SCIPPDTS,si,,
0x80A68,0x80A70,8,ascii,26,SCIPPDTS,si,,
0x80A98,0x80AA0,8,ascii,26,SDNSSDTS,si,,
0x80AC8,0x80AD0,8,ascii,26,SCIPPDTS,si,,
0x80AF8,0x80B01,9,ascii,26,SCIPPDTS ,si,,
0x80B28,0x80B31,9,ascii,26,SCIPPDTS4,si,,
0x8BB27,0x8BB2D,6,ascii,29,PJaNld,,,
0xB6B56,0xB6B5C,6,ascii,39,z)z)z.,,,
0xC0A98,0xC0AA1,9,ascii,41,SCIPPDTS8,si,,
0xC0AC8,0xC0AD1,9,ascii,41,SDNSSDTSD,si,,
0xC0AF8,0xC0B01,9,ascii,41,SCIPPDTSL,si,,
0xC0B58,0xC0B61,9,ascii,41,SCIPPDTSt,si,,
0x100A38,0x100A41,9,ascii,57,SCIPPDTSP,si,,
0x100A68,0x100A71,9,ascii,57,SCIPPDTSd,si,,
0x100A98,0x100AA1,9,ascii,57,SCIPPDTSx,si,,
0x100AC8,0x100AD1,9,ascii,57,SDNSSDTS|,si,,
0x100AF8,0x100B00,8,ascii,57,SCIPPDTS,si,,
0x1100EF,0x1100F5,6,ascii,61,jp)PZr,,,
0x110116,0x11011D,7,ascii,61,zjwrSJN,,,
0x1229D7,0x1229DD,6,ascii,65,P4yMaK,,,
0x140AC8,0x140AD0,8,ascii,71,SCIPPDTS,si,,
0x140AF8,0x140B00,8,ascii,71,SDNSSDTS,si,,
0x140B28,0x140B30,8,ascii,71,SCIPPDTS,si,,
0x140B58,0x140B60,8,ascii,71,SCIPPDTS,si,,
0x140B88,0x140B90,8,ascii,71,SCIPPDTS,si,,
0x15124D,0x151254,7,ascii,76,.mq-|(+,,,
0x158637,0x15863D,6,ascii,77,"""3SUf'",,,
0x180AC8,0x180AD0,8,ascii,88,SDNSSDTS,si,,
0x180AF8,0x180B00,8,ascii,88,SCIPPDTS,si,,
0x180B28,0x180B30,8,ascii,88,SCIPPDTS,si,,
0x180B58,0x180B61,9,ascii,88,SCIPPDTS ,si,,
0x180B88,0x180B91,9,ascii,88,SCIPPDTS4,si,,
0x1B23CE,0x1B23D4,6,ascii,101, QB252,,,
0x1B247A,0x1B2487,13,ascii,101,"4TD4CDB243CD""",si,,
0x1C0AC8,0x1C0AD1,9,ascii,105,SCIPPDTS8,si,,
0x1C0AF8,0x1C0B01,9,ascii,105,SCIPPDTSL,si,,
0x1C0B58,0x1C0B61,9,ascii,105,SCIPPDTSt,si,,
0x1D0A6B,0x1D0A73,8,ascii,109,AEETU45D,,,
0x1D0A90,0x1D0A96,6,ascii,109,RUEcEC,,,
0x1D449C,0x1D44A6,10,ascii,110,hjhjbjcjtm,si,,
0x1E6871,0x1E6877,6,ascii,115,Bc4t'V,,,
0x1FC593,0x1FC59A,7,ascii,120,LoLm|Y-,,,
0x1FC59D,0x1FC5A3,6,ascii,120,x865}K,,,
0x200AC8,0x200AD1,9,ascii,121,SCIPPDTSx,si,,
0x200AF8,0x200B00,8,ascii,121,SCIPPDTS,si,,
0x200B28,0x200B30,8,ascii,121,SCIPPDTS,si,,
0x200B58,0x200B60,8,ascii,121,SCIPPDTS,si,,
0x200B88,0x200B90,8,ascii,121,SCIPPDTS,si,,
0x240828,0x240830,8,ascii,139,SCIPPDTS,si,,
0x240858,0x240860,8,ascii,139,SCIPPDTS,si,,
