offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x10E94,0x10EBF,43,ascii,2,It's a pathogen that infects plant\ncells.,,si,
0x1F983,0x1F99C,25,ascii,7," And this is viroid S,",,si,
0x286D4,0x28719,69,ascii,10,"which was found all over Beyond,\nand only Beyond, 5 years ago.",,si,
0x361D0,0x361FB,43,ascii,14,Meaning somebody is growing\nblack poppies,,si,
0x40B88,0x40B91,9,ascii,15,SCTEGOLDN,,,
0x40BB8,0x40BC1,9,ascii,15,SCIPPDTSX,si,,
0x40BE8,0x40BF1,9,ascii,15,SCIPPDTSl,si,,
0x40C18,0x40C21,9,ascii,15,SDNSSDTSp,si,,
0x40C48,0x40C51,9,ascii,15,SCTEGOLD|,,,
0x4C9CC,0x4C9DC,16,ascii,18,somewhere here?,,si,
0x55798,0x557B4,28,ascii,21,No smuggling necessary.,,si,
0x664A8,0x664CC,36,ascii,25,So why's there only half a leaf?,,si,
0x741E0,0x741ED,13,ascii,29,Beats me.,,,
0x80A98,0x80AA1,9,ascii,31,SCIPPDTSH,si,,
0x80AF8,0x80B01,9,ascii,31,SCIPPDTSp,si,,
0x80B28,0x80B30,8,ascii,31,SCIPPDTS,si,,
0x80B58,0x80B60,8,ascii,31,SCIPPDTS,si,,
0x930C8,0x930EB,35,ascii,36,Some kinda sign from a Narc\ndeal?,,si,
0xA60C8,0xA6104,60,ascii,40,Maybe it has something to do with\nthose drug codes?,,si,
0xC4A68,0xC4A71,9,ascii,46,c23R33B4),,,
0xC4B38,0xC4B41,9,ascii,46,SAT1D4D4(,,,
0x100A68,0x100A70,8,ascii,61,SCIPPDTS,si,,
0x100A98,0x100AA0,8,ascii,61,SCIPPDTS,si,,
0x100AC8,0x100AD0,8,ascii,61,SCIPPDTS,si,,
0x100AF8,0x100B00,8,ascii,61,SCIPPDTS,si,,
0x100B28,0x100B30,8,ascii,61,SCIPPDTS,si,,
0x10800B,0x108012,7,ascii,62,"2!!21!""",,,
0x10801A,0x108029,15,ascii,62,"322""CQ""424B34C(",si,,
0x12899A,0x1289A5,11,ascii,70,!AB3C33DSC',si,,
0x1289CE,0x1289D5,7,ascii,70,12AB24&,,,
0x128A0B,0x128A16,11,ascii,70,"""34UCESEC %",,,
0x140A68,0x140A70,8,ascii,76,SCIPPDTS,si,,
0x140A98,0x140AA0,8,ascii,76,SCIPPDTS,si,,
0x140AC8,0x140AD0,8,ascii,76,SCIPPDTS,si,,
0x140AF8,0x140B00,8,ascii,76,SCIPPDTS,si,,
0x140B28,0x140B30,8,ascii,76,SCIPPDTS,si,,
0x1484E6,0x1484ED,7,ascii,77,d1%D34(,,,
0x1484EE,0x1484F6,8,ascii,77,"43CB3""D!",,,
0x180A68,0x180A70,8,ascii,91,SCIPPDTS,si,,
0x180A98,0x180AA0,8,ascii,91,SCIPPDTS,si,,
0x180AC8,0x180AD1,9,ascii,91,SCIPPDTS ,si,,
0x180AF8,0x180B01,9,ascii,91,SCIPPDTS4,si,,
0x180B28,0x180B31,9,ascii,91,SCIPPDTSH,si,,
0x18BA62,0x18BA68,6,ascii,93,T343%C,,,
0x1C0A98,0x1C0AA1,9,ascii,106,SCIPPDTS8,si,,
0x1C0AC8,0x1C0AD1,9,ascii,106,SCIPPDTSL,si,,
0x1C0B28,0x1C0B31,9,ascii,106,SCIPPDTSt,si,,
0x200A38,0x200A41,9,ascii,121,SCIPPDTSP,si,,
0x200A98,0x200AA1,9,ascii,121,SCIPPDTSd,si,,
0x200AC8,0x200AD1,9,ascii,121,SCIPPDTSx,si,,
0x200AF8,0x200B00,8,ascii,121,SCIPPDTS,si,,
0x240A38,0x240A41,9,ascii,135,SCIPPDTSh,si,,
0x240A68,0x240A71,9,ascii,135,SCIPPDTS|,si,,
0x240A98,0x240AA0,8,ascii,135,SCIPPDTS,si,,
0x240AC8,0x240AD0,8,ascii,135,SDNSSDTS,si,,
0x240AF8,0x240B00,8,ascii,135,SCIPPDTS,si,,
0x26455A,0x264561,7,ascii,143,Cb4(?3n,si,,
0x280A08,0x280A11,9,ascii,149,SCIPPDTSl,si,,
0x280A38,0x280A40,8,ascii,149,SCIPPDTS,si,,
0x280A68,0x280A70,8,ascii,149,SCIPPDTS,si,,
0x280A98,0x280AA0,8,ascii,149,SCIPPDTS,si,,
0x280AC8,0x280AD0,8,ascii,149,SCIPPDTS,si,,
0x2CCA5C,0x2CCA63,7,ascii,165,Cb4(?3n,si,,
0x300A08,0x300A10,8,ascii,176,SCIPPDTS,si,,
0x300A38,0x300A40,8,ascii,176,SCIPPDTS,si,,
0x300A68,0x300A70,8,ascii,176,SDNSSDTS,si,,
0x300A98,0x300AA0,8,ascii,176,SCIPPDTS,si,,
