offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x14434,0x14450,28,ascii,1,"Ladies and gentlemen,",,si,
0x1ED4C,0x1ED84,56,ascii,4,we will shortly be arriving at\nBeyond Coast Spaceport.,,si,
0x2D50F,0x2D528,25,ascii,7,"""In the arrival area",,si,
0x30BF8,0x30BFE,6,ascii,8,Hb8Y?b,,,
0x30C24,0x30C2A,6,ascii,8,:jIw|e,,,
0x34438,0x34478,64,ascii,9,you will each be required to\nundergo a space medical exam,,si,
0x37B7F,0x37B86,7,ascii,10,Pv'uvUv,,,
0x40B58,0x40B60,8,ascii,12,SCIPPDTS,si,,
0x40B88,0x40B90,8,ascii,12,SCIPPDTS,si,,
0x40BB8,0x40BC0,8,ascii,12,SCIPPDTS,si,,
0x40BE8,0x40BF1,9,ascii,12,SCIPPDTS0,si,,
0x40C18,0x40C21,9,ascii,12,SCTEGOLD?,,,
0x44398,0x443CC,52,ascii,13,before going through immigration\nand customs.,,si,
0x529EA,0x529F1,7,ascii,16,y:/Eg+o,,,
0x52AA4,0x52AE0,60,ascii,16,We will now be distributing\nbeverages and salt tablets,,si,
0x59944,0x5994A,6,ascii,18,y:/Eg+,,,
0x5D0B8,0x5D0BF,7,ascii,19,y:/Eg+k,,,
0x60864,0x6086A,6,ascii,20,0:FZFk,,,
0x60899,0x6089F,6,ascii,20,8P74Yi,,,
0x60908,0x60941,57,ascii,20,to help replenish bodily fluids lost\nduring the flight.,,si,
0x80B28,0x80B30,8,ascii,28,SCIPPDTS,si,,
0x80B58,0x80B61,9,ascii,28,SCIPPDTS ,si,,
0x80B88,0x80B91,9,ascii,28,SCIPPDTS4,si,,
0x80BB8,0x80BC1,9,ascii,28,SCIPPDTSH,si,,
0x843AC,0x843FC,80,ascii,29,Thank you once again from all of\nus here for choosing American\nSpace Lines.,,si,
0x99A77,0x99A7E,7,ascii,34,Mw!CRgP,,,
0x9D274,0x9D2B4,64,ascii,35,We look forward to serving you\nagain on a future flight.,,si,
0xA424C,0xA426D,33,ascii,37,"Cabin crew, prepare for docking.",,si,
0xB9900,0xB9907,7,ascii,42,HaA\nONR,,,
0xC0AF8,0xC0B01,9,ascii,43,SCTEGOLDj,,,
0xC0B28,0xC0B31,9,ascii,43,SCIPPDTSt,si,,
0xC0B58,0xC0B60,8,ascii,43,SCIPPDTS,si,,
0xC0B88,0xC0B90,8,ascii,43,SCIPPDTS,si,,
0xCF242,0xCF249,7,ascii,46,"1""2TD3&",,,
0xCF27A,0xCF280,6,ascii,46,"S3CW""R",,,
0xF6000,0xF6020,32,ascii,56,Firing attitude thrusters.,,,
0xF9756,0xF975D,7,ascii,57,y:/Eg+p,,,
0xF97E0,0xF97E7,7,ascii,57,Oh4(81h,,,
0x100B88,0x100B90,8,ascii,59,SCIPPDTS,si,,
0x100BB8,0x100BC0,8,ascii,59,SCIPPDTS,si,,
0x100BE8,0x100BF0,8,ascii,59,SCIPPDTS,si,,
0x100C18,0x100C20,8,ascii,59,SCIPPDTS,si,,
0x100C40,0x100C5C,28,ascii,59,Moving into Beyond-orbit.,,si,
0x105484,0x10548A,6,ascii,61,Bov2t&,,,
0x12B95B,0x12B961,6,ascii,70,"BE"" ?t",,si,
0x12B9F8,0x12BA28,48,ascii,70,Rendezvous and docking laser\nlocked on.,,si,
