offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x10A49,0x10A50,7,ascii,0,3uTUT:b,si,,
0x14145,0x1414C,7,ascii,1,3uTUT:b,si,,
0x17841,0x17848,7,ascii,2,3uTUT:b,si,,
0x1AF3D,0x1AF44,7,ascii,3,3uTUT:b,si,,
0x1E639,0x1E640,7,ascii,4,3uTUT:b,si,,
0x21D35,0x21D3C,7,ascii,5,3uTUT:b,si,,
0x25431,0x25438,7,ascii,6,3uTUT:b,si,,
0x30229,0x30230,7,ascii,8,3uTUT:b,si,,
0x33925,0x3392C,7,ascii,9,3uTUT:b,si,,
0x37021,0x37028,7,ascii,10,3uTUT:b,si,,
0x40A68,0x40A70,8,ascii,12,SDNSSDTS,,,
0x40A98,0x40AA0,8,ascii,12,SCIPPDTS,si,,
0x40AC8,0x40AD0,8,ascii,12,SCIPPDTS,si,,
0x40AF8,0x40B00,8,ascii,12,SCIPPDTS,si,,
0x40B28,0x40B30,8,ascii,12,SCIPPDTS,si,,
0x80AC8,0x80AD1,9,ascii,27,SCIPPDTS ,si,,
0x80AF8,0x80B01,9,ascii,27,SCIPPDTS4,si,,
0x80B28,0x80B31,9,ascii,27,SCIPPDTSH,si,,
0x80B88,0x80B91,9,ascii,27,SCIPPDTSp,si,,
0xA71D1,0xA71D7,6,ascii,37,:Br8Bp,,,
0xAA9B6,0xAA9BC,6,ascii,38,:R2Cbq,,,
0xC0828,0xC0830,8,ascii,44,SCIPPDTS,si,,
