offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x10F3C,0x10F7C,64,ascii,0,The four products' ingredients\nand chemical compositions,,si,
0x185E7,0x185ED,6,ascii,2,Ia291R,si,,
0x27816,0x2781E,8,ascii,6,!Ll'JMpC,,,
0x2F5DB,0x2F614,57,ascii,7,/all match the data on file with the\ngovernment.,,si,
0x40AC8,0x40AD0,8,ascii,11,SCIPPDTS,si,,
0x40AF8,0x40B00,8,ascii,11,SDNSSDTS,si,,
0x40B28,0x40B30,8,ascii,11,SCTEGOLD,si,,
0x40B58,0x40B60,8,ascii,11,SCIPPDTS,si,,
0x40B88,0x40B90,8,ascii,11,SCIPPDTS,si,,
0x4C030,0x4C05C,44,ascii,14,"Also, a lot of people don't know\nthis,",,si,
0x5F12F,0x5F136,7,ascii,18,|Co+tz6,si,,
0x5F174,0x5F1AC,56,ascii,18,but all legit pharmaceuticals have a\nsymbol called,,si,
0x80A98,0x80AA0,8,ascii,25,SCIPPDTS,si,,
0x80AC8,0x80AD0,8,ascii,25,SCTEGOLD,si,,
0x80AF8,0x80B00,8,ascii,25,SCIPPDTS,si,,
0x80B28,0x80B30,8,ascii,25,SDNSSDTS,si,,
0x80B58,0x80B60,8,ascii,25,SCIPPDTS,si,,
0x84697,0x8469D,6,ascii,26,Ia291R,si,,
0x84750,0x84775,37,ascii,26,on the drug itself or its packaging.,,si,
0x938EE,0x938F6,8,ascii,30,!Ll'JMpC,,,
0x9B618,0x9B61E,6,ascii,31,"!BCC3""",,,
0xB2330,0xB2380,80,ascii,37,"The mark on the white side means\nit's made by Tokugawa\nPharmaceuticals,",,si,
0xC0AF8,0xC0B00,8,ascii,39,SCIPPDTS,si,,
0xC0B28,0xC0B30,8,ascii,39,SCIPPDTS,si,,
0xC0BB8,0xC0BC1,9,ascii,39,SCIPPDTS8,si,,
0xCC06F,0xCC076,7,ascii,42,|Co+tz6,si,,
0xCC0B4,0xCC0E4,48,ascii,42,while the numbers stand for the\ndrug's name.,,si,
0xD7560,0xD758C,44,ascii,45,The codes and contents of the\ncapsules,,si,
0xEA578,0xEA5AC,52,ascii,49,all match in accordance with that\nregulation.,,si,
0xF5A98,0xF5AE0,72,ascii,52,"Basically, they're completely\nnormal products you'd find\nanywhere.",,,
0x110570,0x110576,6,ascii,57,v2HJ|J,,,
0x113B77,0x113BCC,85,ascii,58,"?There's nothing special about\nthem, nor do they seem to share\nany commonality.",,si,
0x126A8A,0x126A91,7,ascii,62,A1%FTc(,,,
0x12A984,0x12A998,20,ascii,63,That said....,,si,
0x135C60,0x135C88,40,ascii,66,There is one thing that bothers\nme.,,si,
0x140B58,0x140B61,9,ascii,69,SCIPPDTSh,si,,
0x140B88,0x140B91,9,ascii,69,SCTEGOLDz,si,,
0x140BB8,0x140BC1,9,ascii,69,SCIPPDTS|,si,,
0x140BE8,0x140BF0,8,ascii,69,SCIPPDTS,si,,
0x140C18,0x140C20,8,ascii,69,SCTEGOLD,si,,
0x14B840,0x14B87C,60,ascii,71,This is an enlargement of one of\nthe capsules' codes.,,si,
0x14F684,0x14F68A,6,ascii,72,&Ll'RZ,,,
0x15D858,0x15D874,28,ascii,76,You can see it is in fact,,si,
0x168680,0x1686B8,56,ascii,78,a Tokugawa Pharmaceuticals\nidentification code...,,,
0x17650B,0x176512,7,ascii,82,MhAbHZP,,,
0x1765C8,0x1765D4,12,ascii,82,but look.,,si,
0x180AF8,0x180B00,8,ascii,84,SCIPPDTS,si,,
0x180B28,0x180B30,8,ascii,84,SCTEGOLD,si,,
0x180B58,0x180B60,8,ascii,84,SCIPPDTS,si,,
0x180B88,0x180B90,8,ascii,84,SCIPPDTS,si,,
0x180BB8,0x180BC0,8,ascii,84,SCIPPDTS,si,,
0x18824F,0x188255,6,ascii,85,2!S23(,,,
0x18BA31,0x18BA38,7,ascii,86,MhAbHZP,,,
0x192A5C,0x192A9C,64,ascii,88,You never get mistakes like these\nwith today's technology.,,si,
0x1A8227,0x1A822E,7,ascii,93,243C3D3,,,
0x1A8230,0x1A8250,32,ascii,93,"You're right, it is missing.",,si,
0x1B2AF0,0x1B2B16,38,ascii,96,And the missing sections form\npairs.,,si,
0x1C0AC8,0x1C0AD0,8,ascii,99,SCIPPDTS,si,,
0x1C0AF8,0x1C0B00,8,ascii,99,SCIPPDTS,si,,
0x1C0B28,0x1C0B30,8,ascii,99,SCIPPDTS,si,,
0x1C0B58,0x1C0B60,8,ascii,99,SCIPPDTS,si,,
0x1C0B88,0x1C0B90,8,ascii,99,SCIPPDTS,si,,
0x1CF5BC,0x1CF620,100,ascii,102,"Two of the capsules are missing\nthe left half, while the other two\nare missing the right.",,si,
0x1ECA06,0x1ECA0D,7,ascii,109,?UU542',,,
0x1ECA7C,0x1ECA9C,32,ascii,109,"Strange, don't you think?",,si,
0x1F4162,0x1F4168,6,ascii,111,(3bvpk,,,
0x200A68,0x200A70,8,ascii,114,SCIPPDTS,si,,
0x200A98,0x200AA0,8,ascii,114,SCIPPDTS,si,,
0x200AC8,0x200AD0,8,ascii,114,SCIPPDTS,si,,
0x200AF8,0x200B01,9,ascii,114,SCIPPDTS,si,,
0x200B28,0x200B30,8,ascii,114,SCIPPDTS,si,,
0x21A6A2,0x21A6A9,7,ascii,120,NJ2JOv7,,,
0x240A68,0x240A70,8,ascii,129,SDNSSDTS,si,,
0x240A98,0x240AA0,8,ascii,129,SCIPPDTS,si,,
0x240AC8,0x240AD0,8,ascii,129,SCIPPDTS,si,,
0x240AF8,0x240B01,9,ascii,129,"SCIPPDTS,",si,,
