offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x22263,0x2226A,7,ascii,5,Bnjnjmj,,,
0x26480,0x26490,16,ascii,6,It's him!,,,
0x2E624,0x2E650,44,ascii,7,That's the guy who killed\nLorraine!,,si,
0x3271E,0x32724,6,ascii,8,zj0IEu,,,
0x327FC,0x32802,6,ascii,8,XqVS)/,,,
0x3AB98,0x3ABC0,40,ascii,10,"C'mon, Ed! He already got away\nonce.",,si,
0x40B88,0x40B90,8,ascii,11,SCIPPDTS,si,,
0x40BB8,0x40BC0,8,ascii,11,SCTEGOLD,,,
0x40BE8,0x40BF0,8,ascii,11,SCIPPDTS,si,,
0x40C18,0x40C20,8,ascii,11,SCIPPDTS,si,,
0x40C48,0x40C51,9,ascii,11,SCTEGOLD(,,,
0x48FFC,0x49015,25,ascii,13,Car seems to be alright.,,si,
0x4D128,0x4D12E,6,ascii,14,5}kziz,,,
0x58580,0x58586,6,ascii,16,xjpNO9,,,
0x683E7,0x683ED,6,ascii,21,Su(rAX,,,
0x6B665,0x6B66B,6,ascii,22,t/M0wm,,,
0x72BF4,0x72C2C,56,ascii,23,That bike has a gas engine.  That's\nillegal here.,,si,
0x797F4,0x79824,48,ascii,25,I don't know if we can catch him in\nthis.,,si,
0x80AC8,0x80AD0,8,ascii,27,SDNSSDTS,si,,
0x80AF8,0x80B00,8,ascii,27,SCIPPDTS,si,,
0x80B28,0x80B31,9,ascii,27,SCIPPDTS ,si,,
0x80B58,0x80B61,9,ascii,27,SCIPPDTS4,si,,
0x80B88,0x80B91,9,ascii,27,SCIPPDTSH,si,,
0x87A70,0x87A9B,43,ascii,29,Son of a bitch....  This is gonna be\nfun.,,si,
0x927FE,0x92804,6,ascii,31,"O""0!P""",,,
0x9D225,0x9D22B,6,ascii,34,xf+4nb,,,
0x9D2E4,0x9D30C,40,ascii,34,Watch where you point that\nthing!,,si,
0xC0A68,0xC0A71,9,ascii,42,SCIPPDTS8,si,,
0xC0A98,0xC0AA1,9,ascii,42,SDNSSDTSD,si,,
0xC0AC8,0xC0AD1,9,ascii,42,SCIPPDTSL,si,,
0xE5790,0xE5797,7,ascii,50,1(l(&%l,,,
0x100A68,0x100A71,9,ascii,56,SCIPPDTSP,si,,
0x100A98,0x100AA1,9,ascii,56,SCIPPDTSd,si,,
