offset,offset_fin,largo_original,encoding,chunk,texto,ruido_probable,palabra_reconocible,traduccion
0x15EA4,0x15EC4,32,ascii,2,The name's Jonathan Ingram.,,si,
0x1B8F0,0x1B904,20,ascii,4,"30 years ago,",,,
0x1E61C,0x1E63F,35,ascii,5,I was one of Beyond's Policenauts.,,si,
0x30838,0x30844,12,ascii,10,"Course,",,,
0x3359C,0x335C0,36,ascii,11,it feels like practically yesterday,,si,
0x3BE9C,0x3BEB9,29,ascii,14,thanks to the EMPS accident.,,si,
0x4B750,0x4B76D,29,ascii,17,They're vivid memories.,,,
0x5AB28,0x5AB48,32,ascii,21,"My wife, friends, career....",,si,
0x65364,0x65370,12,ascii,23,All gone.,,si,
0x73BE4,0x73C04,32,ascii,28,That accident ruined my life.,,si,
0x7993C,0x79968,44,ascii,30,Now I'm a private\neye-cum-negotiator,,,
0x83C08,0x83C38,48,ascii,32,"in this wonderful place we call\n""Old LA"".",,si,
0x8F7A8,0x8F7E4,60,ascii,36,"I negotiate with child kidnappers\nand human traffickers,",,si,
0x9C410,0x9C450,64,ascii,39,"intermediate ransom exchanges,\ntrack down escaped cons....",,si,
0xA50F4,0xA510C,24,ascii,42,It's dangerous work.,,,
0xB4CD8,0xB4D0C,52,ascii,46,"But for a guy at the end of his\nrope like me,",,si,
0xD4257,0xD427F,40,ascii,54, Guess it beats still being out\nthere.,,si,
