id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x29D4,redirect,0x29E4,16,Shooting Range{0D},,2 isla(s) 91 inline
1,0x29DF,redirect,0x29FA,8,System{0D},,1 isla(s) 91 inline
2,0x29E8,redirect,0x2A05,6,Look{0D},,
3,0x29ED,redirect,0x2A0B,30,What's on these bookshelves?{0D},,
4,0x29FC,redirect,0x2A29,43,Them? Old books on anatomy and\npathology.{0D},,1 isla(s) 91 inline
5,0x2A2F,redirect,0x2A57,35,I brought them with me from\nHome.{0D},,2 isla(s) 91 inline
6,0x2A5C,redirect,0x2A80,21,You still use them?{0D},,
7,0x2A6B,redirect,0x2A95,50,Of course not.  I get all my\ninformation online.{0D},,1 isla(s) 91 inline
8,0x2AA8,redirect,0x2ACA,47,Nobody uses antique media like\nthose anymore.{0D},,2 isla(s) 91 inline
9,0x2AEF,redirect,0x2AFF,30,So they're like... mementos?{0D},,
10,0x2AFA,redirect,0x2B1D,60,I suppose.  I could never bring\nmyself to throw them away.{0D},,1 isla(s) 91 inline
11,0x2B43,redirect,0x2B5C,38,"I bet you know the feeling,\ndon'cha?{0D}",,1 isla(s) 91 inline
12,0x2B60,redirect,0x2B85,46,They're medical texts from the\n20th century.{0D},,2 isla(s) 91 inline
13,0x2B97,redirect,0x2BB9,26,What's on these shelves?{0D},,1 isla(s) 91 inline
14,0x2BA8,redirect,0x2BD6,25,Drugs I use in my work.{0D},,1 isla(s) 91 inline
15,0x2BC3,redirect,0x2BF2,51,"I hardly use them anymore, to tell\nyou the truth.{0D}",,2 isla(s) 91 inline
16,0x2BE0,redirect,0x2C2B,52,I don't know how you could ever\nreach them anyway.{0D},,1 isla(s) 91 inline
17,0x2C05,redirect,0x2C62,45,They're shelves full of all kinds of\ndrugs.{0D},,
18,0x2C26,redirect,0x2C8F,15,Where's this?{0D},,
19,0x2C49,redirect,0x2C9E,131,"It's Russia.  The old Soviet Union, I\nshould say.  That's where I'm\nfrom.{80238057}Been about 50 years since the last\ntime I was there.{0D}",,2 isla(s) 91 inline
20,0x2CBA,redirect,0x2D27,41,"It's Russia, Dr. Jurgens' home\ncountry.{0D}",,1 isla(s) 91 inline
21,0x2D03,redirect,0x2D53,66,Reminiscing about Home is a\nprivilege reserved for\nTerrestrials.{0D},,1 isla(s) 91 inline
22,0x2D42,redirect,0x2D98,89,I wonder what it's like now.  I\nhave to go back at least once\nbefore I kick the bucket.{0D},,2 isla(s) 91 inline
23,0x2D79,redirect,0x2DF7,95,It's a lot different from when you\nwere a kid.  They've had a\ncomplete economic recovery too.{0D},,
24,0x2DBC,redirect,0x2E56,31,This chair looks prehistoric.{0D},,1 isla(s) 91 inline
25,0x2DD1,redirect,0x2E78,209,"I don't like the chairs APs use.{80238057}I know they're ergonomically\ndesigned and supposedly won't\ngive you sore legs or a sore back\n no matter how long you sit on\nthem, but they just don't... ahem,\nsit with me.{0D}",,3 isla(s) 91 inline
26,0x2E62,redirect,0x2F52,70,I prefer this kind of chair.  Too\nbad they don't sell these anymore.{0D},,1 isla(s) 91 inline
27,0x2EA1,redirect,0x2F9B,63,The field of ergonomics still lacks\nadequate mental research.{0D},,1 isla(s) 91 inline
28,0x2EEA,redirect,0x2FDD,132,Those pieces of paper have\nchemical formulas of transfer\nenzymes on them.{80238057}I discovered them myself {D0}{06} not\nthat long ago either.{0D},,4 isla(s) 91 inline
29,0x2F35,redirect,0x306D,27,You're still using paper?{0D},,
30,0x2F60,redirect,0x3088,99,Writing out ring structures is\ncomplicated stuff.  It takes longer\ntrying to do them on computer.{0D},,4 isla(s) 91 inline
31,0x2FB7,redirect,0x30F7,39,I don't like to waste any of my\ntime.{0D},,1 isla(s) 91 inline
32,0x2FE2,redirect,0x3121,53,It's a piece of paper with chemical\nformulas on it.{0D},,2 isla(s) 91 inline
