id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x2084,redirect,0x177B,42,"Try and find the light switch,\nJonathan.{0D}",,2 isla(s) 91 inline
1,0x20AB,redirect,0x17AB,29,Will you turn on the light?{0D},,
2,0x20C8,redirect,0x17C8,8,System{0D},,
3,0x20D1,redirect,0x17D0,46,I'm fine.  Could you just turn on\nthe light?{0D},,1 isla(s) 91 inline
4,0x20F0,redirect,0x1801,41,Surely you can see me.  I'm right\nhere.{0D},,
5,0x211B,redirect,0x182A,5,Ow!{0D},,
6,0x2126,redirect,0x182F,18,"That you, Karen?{0D}",,
7,0x213B,redirect,0x1841,37,Of course it's me.  I'm right here.{0D},,1 isla(s) 91 inline
8,0x215A,redirect,0x1869,19,Oh.  I apologize.{0D},,1 isla(s) 91 inline
9,0x2167,redirect,0x187F,14,What's this?{0D},,
10,0x216E,redirect,0x1890,61,"Karen? Oh, didn't know you were\nthere.  Try to stand still.{0D}",,3 isla(s) 91 inline
11,0x219B,redirect,0x18D6,32,"I am standing still, Jonathan.{0D}",,1 isla(s) 91 inline
12,0x21B8,redirect,0x18F9,47,Funny.  I thought you were over\non the right.{0D},,1 isla(s) 91 inline
13,0x21E3,redirect,0x192B,7,Okay.{0D},,
14,0x21F4,redirect,0x1932,37,"It's me, Jonathan.  I'm right here.{0D}",,2 isla(s) 91 inline
15,0x2215,redirect,0x195D,32,Is there something on my face?{0D},,
16,0x222C,redirect,0x197D,23,"What is it, Jonathan?{0D}",,1 isla(s) 91 inline
17,0x2245,redirect,0x1997,34,I figured this was your face....{0D},,1 isla(s) 91 inline
18,0x2262,redirect,0x19BC,18,Hm? What's this?{0D},,
19,0x2275,redirect,0x19CE,52,Will you please take your hands\naway from my face?{0D},,1 isla(s) 91 inline
20,0x22A2,redirect,0x1A05,23,It feels like a face.{0D},,
21,0x22AF,redirect,0x1A1C,27,"That's my face, Jonathan.{0D}",,1 isla(s) 91 inline
22,0x22CC,redirect,0x1A3A,13,"Oh, my bad.{0D}",,
23,0x22D5,redirect,0x1A47,32,Is there something in my hair?{0D},,1 isla(s) 91 inline
24,0x22EA,redirect,0x1A6A,27,"That's my hair, Jonathan.{0D}",,
25,0x230B,redirect,0x1A85,35,"It's just... so pretty, you know?{0D}",,1 isla(s) 91 inline
26,0x232A,redirect,0x1AAB,47,I'm sure you can't see THAT well\nin the dark.{0D},,1 isla(s) 91 inline
27,0x2343,redirect,0x1ADD,29,Hm? What's this soft thing?{0D},,2 isla(s) 91 inline
28,0x2360,redirect,0x1B00,27,"That's my hair, Jonathan.{0D}",,
