id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x2F44,redirect,0x2F47,26,That was Target Mode's...,,
1,0x2F67,redirect,0x2F61,15,Circle Target.,,1 isla(s) 91 inline
2,0x2F80,redirect,0x2F73,15,Circle Target.,,1 isla(s) 91 inline
3,0x2F97,redirect,0x2F85,38,This is your standard type of\ntarget.,,1 isla(s) 91 inline
4,0x2FB8,redirect,0x2FAE,12,Man Target.,,1 isla(s) 91 inline
5,0x2FCD,redirect,0x2FBD,12,Man Target.,,
6,0x2FE0,redirect,0x2FC9,22,Hey! The hell's this?,,2 isla(s) 91 inline
7,0x2FFD,redirect,0x2FE5,27,"You drew this, didn't you?",,1 isla(s) 91 inline
8,0x301C,redirect,0x3003,14,"Not bad, huh?",,
9,0x3035,redirect,0x3011,32,Just who's this supposed to be?,,1 isla(s) 91 inline
10,0x305C,redirect,0x3034,28,"Calm down, Ed! It's a joke!",,1 isla(s) 91 inline
11,0x3081,redirect,0x3053,41,Don't tell me this is supposed to\nbe me!,,1 isla(s) 91 inline
12,0x309E,redirect,0x307F,23,"You're scaring me, Ed.",,1 isla(s) 91 inline
13,0x30B7,redirect,0x3099,46,"Well, your face always looks a little\ncreepy.",,2 isla(s) 91 inline
14,0x30D6,redirect,0x30CD,7,What?!,,
15,0x30E3,redirect,0x30D4,10,Whatever.,,1 isla(s) 91 inline
16,0x3102,redirect,0x30E1,29,More of your usual bullshit.,,1 isla(s) 91 inline
17,0x3125,redirect,0x3101,11,(Whew....),,1 isla(s) 91 inline
18,0x313E,redirect,0x310F,32,Just try it again! Just try it!,,1 isla(s) 91 inline
19,0x3161,redirect,0x3132,18,"Alright, alright.",,1 isla(s) 91 inline
20,0x3176,redirect,0x3147,35,(I didn't think it was THAT good.),,1 isla(s) 91 inline
21,0x318F,redirect,0x316D,31,"Anyway, here are your results.",,1 isla(s) 91 inline
22,0x31AE,redirect,0x3192,19,What?! That again?,,
23,0x31DB,redirect,0x31A5,26,"Hey, what are you doing?!",,1 isla(s) 91 inline
24,0x31EC,redirect,0x31C2,36,Man....  You didn't have to rip it.,,1 isla(s) 91 inline
25,0x3207,redirect,0x31E9,31,"There, that takes care of you.",,2 isla(s) 91 inline
26,0x3236,redirect,0x320E,37,(There's more where that came\nfrom.),,
27,0x3249,redirect,0x3233,34,"You drew another one, didn't\nyou?",,2 isla(s) 91 inline
28,0x3262,redirect,0x325B,26,(I can keep drawing 'em.),,1 isla(s) 91 inline
29,0x3279,redirect,0x3278,22,You drew another one?,,1 isla(s) 91 inline
30,0x3294,redirect,0x3291,21,"Your work, Jonathan?",,1 isla(s) 91 inline
31,0x32AF,redirect,0x32A9,58,"When the hell do you have time to\ndraw all these, anyway?",,2 isla(s) 91 inline
32,0x32CE,redirect,0x32E9,54,"Whatever.  Anyway, let's take a\nlook at your results.",,2 isla(s) 91 inline
33,0x32F1,redirect,0x3325,24,I didn't draw this one.,,1 isla(s) 91 inline
34,0x3302,redirect,0x3340,49,"Oh, come on! If you didn't draw it\nthen who did?",,4 isla(s) 91 inline
35,0x3331,redirect,0x337D,29,I honestly didn't draw this.,,1 isla(s) 91 inline
36,0x3346,redirect,0x339D,29,Huh? Where'd that come from?,,
37,0x3357,redirect,0x33BA,28,What are you talking about?,,
38,0x3366,redirect,0x33D6,24,For the love of god....,,1 isla(s) 91 inline
39,0x3375,redirect,0x33F1,13,What's this?,,1 isla(s) 91 inline
40,0x3392,redirect,0x3401,90,I'm not sure myself.  It was on that\nwall there.{80238057}I thought I'd mix things up a little.,,2 isla(s) 91 inline
41,0x33DD,redirect,0x3461,20,You mean that wall?,,1 isla(s) 91 inline
42,0x33F4,redirect,0x3478,27,"Yeah, at the corner there.",,
43,0x3411,redirect,0x3493,52,"That's where they put the wanted\nposters, Jonathan.",,2 isla(s) 91 inline
44,0x3438,redirect,0x34CD,34,Oh.  Really? So why's he\nsmiling?,,1 isla(s) 91 inline
45,0x3473,redirect,0x34F2,55,"Yeah, I dunno either.  I can see\nhow you'd confuse it.",,2 isla(s) 91 inline
46,0x3498,redirect,0x352F,44,You take this one off that same\nwall again?,,1 isla(s) 91 inline
47,0x34BF,redirect,0x355E,57,"Just trying to make things more\ninteresting, that's all.",,3 isla(s) 91 inline
48,0x34D6,redirect,0x35A0,22,Wow! A perfect score!,,
49,0x34F5,redirect,0x35B6,36,Nice work! You got a perfect\nscore!,,1 isla(s) 91 inline
50,0x351C,redirect,0x35DD,30,This is your second in a row!,,1 isla(s) 91 inline
51,0x3539,redirect,0x35FE,29,This is your third in a row!,,1 isla(s) 91 inline
52,0x3570,redirect,0x361E,30,This is your fourth in a row!,,1 isla(s) 91 inline
53,0x358D,redirect,0x363F,9,Amazing!,,1 isla(s) 91 inline
54,0x359C,redirect,0x364B,29,This is your fifth in a row!,,1 isla(s) 91 inline
55,0x35B9,redirect,0x366B,68,Unbelievable! Five perfects in a\nrow in such an unpredictable\ngame.,,1 isla(s) 91 inline
56,0x35F2,redirect,0x36B2,29,This is your sixth in a row!,,
57,0x360F,redirect,0x36CF,38,"You totally own this thing,\nJonathan!",,3 isla(s) 91 inline
58,0x3628,redirect,0x36FE,31,This is your seventh in a row!,,1 isla(s) 91 inline
59,0x3645,redirect,0x3720,34,That's another one you've gotten!,,1 isla(s) 91 inline
60,0x3662,redirect,0x3745,71,You did a good job hitting the\ncenter.  It's harder without any\nlines.,,2 isla(s) 91 inline
61,0x36A5,redirect,0x3792,28,You expected any different?,,1 isla(s) 91 inline
62,0x36D0,redirect,0x37B1,36,I could shoot your face up all day.,,2 isla(s) 91 inline
63,0x36E9,redirect,0x37DB,7,What?!,,
