id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x358E,redirect,0x1F69,9,Continue,,1 isla(s) 91 inline
1,0x359D,redirect,0x1F75,102,"I shouldn't be hard on myself. \nThat was my first shooting scene,\nafter all.{80238057}I'll do it this time.",,2 isla(s) 91 inline
2,0x35DE,redirect,0x1FE1,44,I have to reload when my\nmagazine runs out.,,
3,0x3633,redirect,0x200D,45,I can reload by clicking outside the\nscreen.,,
4,0x366C,redirect,0x203A,72,I reload by pressing the Triangle\nButton when I'm using the\ncontroller.,,1 isla(s) 91 inline
5,0x36B7,redirect,0x2085,54,I've got the hang of it now.  I'll get\nhim this time.,,1 isla(s) 91 inline
6,0x36EE,redirect,0x20BE,41,I reload by clicking outside the\nscreen.,,1 isla(s) 91 inline
7,0x371D,redirect,0x20EA,127,I should make use of the lock-on\nfeature when I'm using the\ncontroller.{80238057}I can lock onto targets with the L1\nand R1 Buttons.,,1 isla(s) 91 inline
8,0x3786,redirect,0x216C,73,I can't keep letting myself get\nkilled like this.  I know I can do\nthis!,,1 isla(s) 91 inline
9,0x37B9,redirect,0x21B8,52,I can lock onto targets with the L1\nand R1 Buttons.,,
10,0x37EE,redirect,0x21EC,50,I can't keep letting myself get\nkilled like this!,,1 isla(s) 91 inline
11,0x3817,redirect,0x2221,35,I've figured out his patterns now.,,
12,0x3838,redirect,0x2244,64,I have to concentrate.  I can't just\nkeep getting beat forever!,,1 isla(s) 91 inline
13,0x3869,redirect,0x2287,5,Quit,,
14,0x3870,redirect,0x228C,64,"I hate quitting at a time like this,\nbut I don't have a choice.",,1 isla(s) 91 inline
15,0x38A3,redirect,0x22CF,26,This is enough for today.,,
16,0x38C0,redirect,0x22E9,38,I'll pick it back up some other\ntime.,,
17,0x38D9,redirect,0x230F,25,"Hang in there, Lorraine.",,
18,0x3906,redirect,0x2328,82,I'll do it this time.  It's not like this\nis my first shooting scene or\nanything.,,1 isla(s) 91 inline
19,0x3937,redirect,0x237D,44,"This also isn't my first Game Over,\nthough.",,1 isla(s) 91 inline; cadena 92: 2 fragmentos unidos
20,0x395A,redirect,0x23BC,74,"I'll get him this time.  After all, I\nwas able to do the bit before this.",,1 isla(s) 91 inline
21,0x3997,redirect,0x2409,74,There are only two doors.  If I\njust aim carefully I'll be able to do\nit.,,2 isla(s) 91 inline
22,0x39D0,redirect,0x2459,83,"I don't like quitting after chasing\nhim down like that, but I don't\nhave a choice.",,1 isla(s) 91 inline
23,0x3A1B,redirect,0x24AF,5,Load,,
24,0x3A22,redirect,0x24B4,5,Save,,
25,0x3A29,redirect,0x24B9,36,Why don't I go ahead and save\nhere.,,
26,0x3A4E,redirect,0x24DD,30,This is a good place to save.,,1 isla(s) 91 inline
27,0x3A6F,redirect,0x24FE,35,Can't say I'm much of a detective.,,1 isla(s) 91 inline
28,0x3A88,redirect,0x2524,44,I won't make it very far if I keep\nthis up.,,2 isla(s) 91 inline
29,0x3AAB,redirect,0x2556,60,"Come on, I'm a Policenaut! I gotta\nget that old sense back.",,2 isla(s) 91 inline
