id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x1C8E,redirect,0x1528,65,"I'm sorry, but you cannot touch\nher.  Please just let her rest!{0D}",,1 isla(s) 91 inline
1,0x1CBD,redirect,0x156C,6,Look{0D},,1 isla(s) 91 inline
2,0x1CC2,redirect,0x1575,55,Karen....  Her skin doesn't look\ngood.  It's so pale.{0D},,3 isla(s) 91 inline
3,0x1CE9,redirect,0x15B5,29,Her anemia is quite severe.{0D},,1 isla(s) 91 inline
4,0x1D0E,redirect,0x15D5,74,"As I mentioned, it's due to her\ninability to properly produce new\nblood.{0D}",,1 isla(s) 91 inline
5,0x1D2B,redirect,0x1622,22,She has bruises too.{0D},,
6,0x1D42,redirect,0x1638,54,Those are caused by her platelet\ncount being so low.{0D},,2 isla(s) 91 inline
7,0x1D6B,redirect,0x1674,42,She must be in a lot of pain. \nKaren....{0D},,2 isla(s) 91 inline
8,0x1D8E,redirect,0x16A4,48,Karen....  Show me those\nbeautiful eyes again.{0D},,1 isla(s) 91 inline
9,0x1DBF,redirect,0x16D7,27,"Open your eyes, Karen....{0D}",,
10,0x1DDC,redirect,0x16F2,29,Show me your eyes again....{0D},,1 isla(s) 91 inline
11,0x1E05,redirect,0x1712,47,"She's under anesthesia right now,\nMr. Ingram.{0D}",,1 isla(s) 91 inline
12,0x1E3C,redirect,0x1744,44,"Mr. Ingram, please get a hold of\nyourself!{0D}",,
13,0x1E6F,redirect,0x1770,89,"If she were to be taken out of this\ncapsule she could die.  You\nunderstand that, right?{0D}",,3 isla(s) 91 inline
14,0x1EA4,redirect,0x17D2,55,If you want to help her then\nplease control yourself!{0D},,1 isla(s) 91 inline
15,0x1ECF,redirect,0x180C,119,The interior of this capsule is\ncompletely sterile.{80238057}Her body has no defense against\nbacteria or viruses right now.{0D},,2 isla(s) 91 inline; cadena 92: 2 fragmentos unidos
16,0x1F20,redirect,0x1899,61,"To put it simply, this capsule\nprotects her from infection.{0D}",,1 isla(s) 91 inline
17,0x1F51,redirect,0x18D9,67,"If we start radiation therapy, she\nwill be isolated even further.{0D}",,
18,0x1F94,redirect,0x191C,69,"As I mentioned, she has a low\nwhite blood cell count at the\nmoment.{0D}",,3 isla(s) 91 inline
