id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x2572,redirect,0x2129,11,Go inside{0D},,1 isla(s) 91 inline
1,0x257B,redirect,0x2137,8,System{0D},,
2,0x2584,redirect,0x213F,6,Look{0D},,
3,0x2589,redirect,0x2145,51,He's not there anymore.  He ran\ninto the station!{0D},,
4,0x25B0,redirect,0x2178,34,He might be hiding behind there.{0D},,
5,0x25DD,redirect,0x219A,27,He could be behind there.{0D},,
6,0x2606,redirect,0x21B5,33,He might be behind that pillar.{0D},,
7,0x2635,redirect,0x21D6,40,"Whatever you do, don't hit a\ncivilian.{0D}",,1 isla(s) 91 inline
8,0x2666,redirect,0x2201,56,"I'm sorry I can't help you,\nJonathan.  It's up to you.{0D}",,1 isla(s) 91 inline
9,0x269F,redirect,0x223C,70,He escaped inside the station. \nHe's gonna try and get on the\ntrain.{0D},,1 isla(s) 91 inline
10,0x26E4,redirect,0x2288,86,This is a linear rail station.  This is\nBeyond's one and only mass\ntransport system.{0D},,1 isla(s) 91 inline
11,0x2731,redirect,0x22E4,37,Anna goes to school by linear rail.{0D},,
12,0x2758,redirect,0x2309,128,It'll be a real pain in the ass trying\nto track him down if he gets on a\ntrain.{80238057}Let's take him down before that\ncan happen.{0D},,2 isla(s) 91 inline
13,0x2791,redirect,0x238F,53,Meryl and Dave will be waiting at\nthe next station.{0D},,2 isla(s) 91 inline
14,0x27D6,redirect,0x23CA,31,This is Central Port Station.{0D},,
15,0x27EF,redirect,0x23E9,122,Its Japanese name is Nakafuto\nStation.{80238057}A lot of places on Beyond are\nnamed after places in Japan\nbecause of Tokugawa.{0D},,4 isla(s) 91 inline
16,0x2850,redirect,0x246F,114,Those are the linear rail tracks.{80238057}A police car can drive on them in\nemergencies using the car's linear\nskirt.{0D},,3 isla(s) 91 inline
17,0x28AB,redirect,0x24EA,2,{0D},,
18,0x28D8,redirect,0x24EC,98,"You can't see them from here, but\nthe tracks aren't any different\nfrom the linear rails on Home.{0D}",,2 isla(s) 91 inline
19,0x2925,redirect,0x2554,61,He ran up these stairs here.  He's\nheaded for the platform!{0D},,5 isla(s) 91 inline
20,0x295A,redirect,0x25A0,24,Let's go on after him!{0D},,1 isla(s) 91 inline
21,0x2975,redirect,0x25BB,81,These are the stairs leading up to\nthe station.  I don't see any blood\non them.{0D},,2 isla(s) 91 inline
22,0x299E,redirect,0x2612,29,He must still be down here.{0D},,
23,0x29CF,redirect,0x262F,51,These stairs are the only way up\nto the platform.{0D},,1 isla(s) 91 inline
24,0x2A06,redirect,0x2665,85,He has to come out sooner or\nlater.  We just gotta stay put and\nkeep our eyes open.{0D},,2 isla(s) 91 inline
25,0x2A2D,redirect,0x26C0,65,Hard to believe we're in outer\nspace.  It feels just like Home.{0D},,1 isla(s) 91 inline
26,0x2A7A,redirect,0x2704,61,Yeah.  This is a world of illusion. \nOur world of illusion.{0D},,1 isla(s) 91 inline
27,0x2AB9,redirect,0x2744,32,Look at that.  Almost sunrise.{0D},,1 isla(s) 91 inline
28,0x2ADA,redirect,0x2767,51,Now's not the time for your\nsentimental bullshit!{0D},,1 isla(s) 91 inline
29,0x2AFD,redirect,0x279D,147,That's a linear rail train.{80238057}The ceilings of the cars are built\nas low as possible to keep the\nbody light and give it a low center\n of gravity.{0D},,2 isla(s) 91 inline
30,0x2B5C,redirect,0x2836,136,The cars are constructed out of\nfiberglass reinforced plastic\ncontaining epoxy and phenolic\n resins.  That makes them\nextremely light.{0D},,2 isla(s) 91 inline
31,0x2BB3,redirect,0x28C4,47,I used epoxy resin a lot when I\nbuilt models.{0D},,1 isla(s) 91 inline
32,0x2BE2,redirect,0x28F6,155,"They're smart cars with advanced\ncapabilities like real-time status\nmonitoring as well as full system\n management, including automatic\ncourse adjustment.{0D}",,3 isla(s) 91 inline
33,0x2C2F,redirect,0x299A,57,He's gonna get on that train. \nSomebody could get hurt.{0D},,2 isla(s) 91 inline
34,0x2C5A,redirect,0x29D9,65,Let's hurry up to the platform. \nThe linear's gonna leave soon!{0D},,1 isla(s) 91 inline
35,0x2C9B,redirect,0x2A1D,41,We don't have time to hang\naround here!{0D},,1 isla(s) 91 inline
36,0x2CB8,redirect,0x2A49,36,Let's go! He's up on the platform.{0D},,
37,0x2CD5,redirect,0x2A6D,45,You just wanna let him get\naway?! Let's go!{0D},,1 isla(s) 91 inline
38,0x2CF6,redirect,0x2A9D,53,If we stay here any longer he\nreally will get away.{0D},,1 isla(s) 91 inline
39,0x2D1B,redirect,0x2AD5,23,We're gonna lose him!{0D},,1 isla(s) 91 inline
40,0x2D32,redirect,0x2AEF,31,Let's get up to the platform.{0D},,1 isla(s) 91 inline
41,0x2D59,redirect,0x2B11,28,We better hurry after him!{0D},,
42,0x2D74,redirect,0x2B2D,62,We've wasted too much time.  He\nmight've gotten away by now.{0D},,1 isla(s) 91 inline
43,0x2DAD,redirect,0x2B6E,43,We gotta hurry! The linear's\ngonna leave!{0D},,
44,0x2DE6,redirect,0x2B99,2,{0D},,
45,0x2E03,redirect,0x2B9B,2,{0D},,
46,0x2E36,redirect,0x2B9D,2,{0D},,
47,0x2E5F,redirect,0x2B9F,2,{0D},,
48,0x2E94,redirect,0x2BA1,50,"No, hold on.  He might be\nsomewhere around here.{0D}",,1 isla(s) 91 inline
49,0x2EC3,redirect,0x2BD6,116,"Relax, Jonathan, there aren't any\nlinears at the station.  He can't go\nanywhere.{80238057}Let's take a look around here.{0D}",,2 isla(s) 91 inline
50,0x2F10,redirect,0x2C50,42,Let's check out this area a little\nmore.{0D},,1 isla(s) 91 inline
51,0x2F33,redirect,0x2C7D,58,What about that pillar over\nthere? Let's go take a look.{0D},,2 isla(s) 91 inline
52,0x2F5E,redirect,0x2CBD,46,He isn't there.  He's gone into the\nstation!{0D},,1 isla(s) 91 inline
53,0x2F7F,redirect,0x2CEE,29,That's a convenience store.{0D},,1 isla(s) 91 inline
54,0x2FD0,redirect,0x2D0E,27,He might be inside there.{0D},,1 isla(s) 91 inline
55,0x2FFF,redirect,0x2D2C,60,He might be hiding in there.  Be\nready if he makes a move.{0D},,2 isla(s) 91 inline
56,0x3040,redirect,0x2D6E,29,Never mind the stupid sign.{0D},,1 isla(s) 91 inline
57,0x3069,redirect,0x2D8E,56,That's a sign promoting Beyond's\nanniversary festival.{0D},,1 isla(s) 91 inline
58,0x30A4,redirect,0x2DC9,27,He might be behind there.{0D},,
59,0x30DB,redirect,0x2DE4,34,He could be hiding behind there.{0D},,2 isla(s) 91 inline
60,0x310E,redirect,0x2E0C,28,There's some bushes there.{0D},,
61,0x3121,redirect,0x2E28,28,There's some bushes there.{0D},,1 isla(s) 91 inline
62,0x3138,redirect,0x2E47,28,There's some bushes there.{0D},,1 isla(s) 91 inline
63,0x314D,redirect,0x2E66,43,He's not there.  He ran into the\nstation!{0D},,
64,0x3170,redirect,0x2E91,30,He might be hiding in there.{0D},,1 isla(s) 91 inline
65,0x31A7,redirect,0x2EB2,34,He definitely could be in there.{0D},,1 isla(s) 91 inline
66,0x31DA,redirect,0x2ED7,49,"He's not in the bushes.  Dammit,\nwhere'd he go?{0D}",,
67,0x3209,redirect,0x2F08,2,{0D},,
68,0x321E,redirect,0x2F0A,2,{0D},,
69,0x3259,redirect,0x2F0C,2,{0D},,
70,0x3270,redirect,0x2F0E,20,This is his blood.{0D},,1 isla(s) 91 inline
71,0x327F,redirect,0x2F25,58,He should be around here\nsomewhere.  Stay on your guard.{0D},,2 isla(s) 91 inline
72,0x32A4,redirect,0x2F65,55,That's his blood trail.  It leads up\nto the platform.{0D},,1 isla(s) 91 inline
73,0x32C7,redirect,0x2F9F,31,Let's get up to the platform.{0D},,
74,0x32EA,redirect,0x2FBE,2,{0D},,
75,0x3317,redirect,0x2FC0,2,{0D},,
76,0x3326,redirect,0x2FC2,2,{0D},,
77,0x334B,redirect,0x2FC4,2,{0D},,
78,0x336E,redirect,0x2FC6,2,{0D},,
79,0x337B,redirect,0x2FC8,2,{0D},,
80,0x33AA,redirect,0x2FCA,2,{0D},,
81,0x33C1,redirect,0x2FCC,2,{0D},,
82,0x33D6,redirect,0x2FCE,2,{0D},,
