id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x15DC,redirect,0x12F0,61,It's a reflective faceplate.  We can't\nsee his face at all.{0D},,1 isla(s) 91 inline
1,0x1613,redirect,0x1330,54,He must be really desperate to\nconceal his identity.{0D},,1 isla(s) 91 inline
2,0x1634,redirect,0x1369,61,Look at this guy.  Calls us out\nhere then turns up in this.{0D},,3 isla(s) 91 inline
3,0x165D,redirect,0x13AF,84,It's a spacesuit from the Apollo\nprogram.  The museum probably\nuses it for events.{0D},,3 isla(s) 91 inline
4,0x169C,redirect,0x140C,66,It'll be easier to move in than the\ndisplays at the Moon Corner.{0D},,1 isla(s) 91 inline
5,0x16CD,redirect,0x1451,55,"Yeah, the real ones weigh well\nover a hundred pounds.{0D}",,
6,0x1706,redirect,0x1488,8,Arrest{0D},,
7,0x170F,redirect,0x1490,38,We're wasting our time playing\nnice.{0D},,
8,0x172E,redirect,0x14B6,45,Maybe we need to be a little more\nforceful.{0D},,1 isla(s) 91 inline
9,0x1749,redirect,0x14E6,45,You're going to arrest me? On\nwhat charges?{0D},,1 isla(s) 91 inline
10,0x1766,redirect,0x1516,14,Trespassing.{0D},,
11,0x1775,redirect,0x1524,14,Trespassing?{0D},,
12,0x1780,redirect,0x1532,52,This is the Space Corner.  No\nLunar suits allowed.{0D},,2 isla(s) 91 inline
13,0x17AB,redirect,0x156C,11,Jonathan!{0D},,
14,0x17C6,redirect,0x1577,108,"Try anything like that and you can\nforget about me helping you.{80238057}Remember, I've got information\nfor you.{0D}",,2 isla(s) 91 inline
15,0x1811,redirect,0x15E9,23,"He's right, Jonathan.{0D}",,
16,0x1832,redirect,0x1600,39,What are you trying to do? Calm\ndown.{0D},,1 isla(s) 91 inline
17,0x184B,redirect,0x162A,31,You're getting too worked up.{0D},,1 isla(s) 91 inline
18,0x1864,redirect,0x164C,22,"I'm not kidding, Ed.{0D}",,1 isla(s) 91 inline
19,0x1879,redirect,0x1665,78,"Look, you wanna go spend some\ntime in a cell or you wanna work\nwith us here?{0D}",,1 isla(s) 91 inline
20,0x18A0,redirect,0x16B6,21,"Alright, I'll talk.{0D}",,
21,0x18BD,redirect,0x16CB,21,"Alright, I'll talk.{0D}",,1 isla(s) 91 inline
22,0x18D6,redirect,0x16E3,47,You guys have watched too many\npolice movies.{0D},,2 isla(s) 91 inline
23,0x18FF,redirect,0x1718,26,Reminds me of you in LA.{0D},,1 isla(s) 91 inline
24,0x191A,redirect,0x1735,65,He's just stringing us along.  Let's\nbring this guy in already.{0D},,3 isla(s) 91 inline
25,0x1937,redirect,0x177F,35,"Chill out for a second, will you?{0D}",,1 isla(s) 91 inline
26,0x194A,redirect,0x17A5,79,This isn't getting us anywhere.  I\nsay we take this guy in and make\nhim talk.{0D},,2 isla(s) 91 inline
27,0x197F,redirect,0x17FA,16,Are you crazy?{0D},,
28,0x1998,redirect,0x180A,32,You trying to ruin everything?{0D},,1 isla(s) 91 inline
29,0x19B1,redirect,0x182D,6,Talk{0D},,1 isla(s) 91 inline
30,0x19BC,redirect,0x1836,28,"Okay, let's hear the rest.{0D}",,1 isla(s) 91 inline
31,0x19DD,redirect,0x1855,24,What else do you have?{0D},,1 isla(s) 91 inline
32,0x19F0,redirect,0x1870,36,"Alright, what have you got for\nus?{0D}",,1 isla(s) 91 inline
33,0x19FF,redirect,0x1897,22,Well? Start talking.{0D},,1 isla(s) 91 inline
34,0x1A16,redirect,0x18B0,46,Looks like he wants to do this the\nhard way.{0D},,2 isla(s) 91 inline
35,0x1A39,redirect,0x18E4,17,May I help you?{0D},,
36,0x1A4C,redirect,0x18F5,36,"Oh, the bathroom is that way, sir.{0D}",,2 isla(s) 91 inline
37,0x1A63,redirect,0x191F,11,Ask about{0D},,
38,0x1A68,redirect,0x192A,27,"I'm sorry, do I know you?{0D}",,1 isla(s) 91 inline
39,0x1A81,redirect,0x1948,46,You're in the way.  I can't see the\nexhibit.{0D},,1 isla(s) 91 inline
40,0x1ABA,redirect,0x1979,42,I don't have anything to say to you\ntwo.{0D},,2 isla(s) 91 inline
41,0x1ADF,redirect,0x19A9,14,His identity{0D},,1 isla(s) 91 inline
42,0x1AE8,redirect,0x19BA,34,How do we know we can trust\nyou?{0D},,2 isla(s) 91 inline
43,0x1B07,redirect,0x19E2,78,"I'm neither enemy nor friend. \nYou could call me... an associate, I\nsuppose.{0D}",,3 isla(s) 91 inline
44,0x1B42,redirect,0x1A3C,83,"We share an enemy.  Rather, you\ncould say we're being targeted by\nthe same enemy.{0D}",,4 isla(s) 91 inline
45,0x1B83,redirect,0x1A9B,41,I've got a list of enemies a mile\nlong.{0D},,1 isla(s) 91 inline
46,0x1BAC,redirect,0x1AC7,28,My identity is irrelevant.{0D},,1 isla(s) 91 inline
47,0x1BE5,redirect,0x1AE6,44,What is relevant is whom we're up\nagainst.{0D},,2 isla(s) 91 inline
48,0x1C0E,redirect,0x1B18,59,Why can't you tell us who you\nare? Whose side are you on?{0D},,1 isla(s) 91 inline
49,0x1C31,redirect,0x1B56,119,"I can't reveal my identity.  Not yet,\nanyway.  My life is in danger.{80238057}As I said before, you can call me\nNine Stars.{0D}",,2 isla(s) 91 inline
50,0x1C96,redirect,0x1BD3,13,Nine Stars?{0D},,
51,0x1CC1,redirect,0x1BE0,116,"I can tell you I know a lot about\nboth of you.{80238057}You'll know who I am soon\nenough, provided we survive that\nlong.{0D}",,3 isla(s) 91 inline
52,0x1D06,redirect,0x1C5D,48,You expect us to just accept that\nand move on?{0D},,
53,0x1D29,redirect,0x1C8D,22,Do you not trust me?{0D},,1 isla(s) 91 inline
54,0x1D4E,redirect,0x1CA6,44,Of course not.  We don't know\nwho you are.{0D},,1 isla(s) 91 inline
55,0x1D6F,redirect,0x1CD5,6,Hojo{0D},,
56,0x1D7C,redirect,0x1CDB,25,Let's cut to the chase.{0D},,
57,0x1D9F,redirect,0x1CF4,24,That didn't take long.{0D},,1 isla(s) 91 inline
58,0x1DC0,redirect,0x1D0F,24,What happened to Hojo?{0D},,
59,0x1DD7,redirect,0x1D27,62,He betrayed them.  He started\nselling it behind their backs.{0D},,2 isla(s) 91 inline
60,0x1E28,redirect,0x1D6B,15,"""Them""? ""It""?{0D}",,2 isla(s) 91 inline
61,0x1E67,redirect,0x1D80,19,So where is Hojo?{0D},,
62,0x1E7A,redirect,0x1D93,137,He was eliminated a long time ago.\nThat's what happens when you\ncross these guys.{80238057}I'm going to end up just like Hojo\nand that woman!{0D},,3 isla(s) 91 inline
63,0x1EE7,redirect,0x1E25,28,You're saying Hojo's dead?{0D},,1 isla(s) 91 inline
64,0x1F06,redirect,0x1E44,96,They've already taken care of his\nbody.  You'll never find it.  Don't\nwaste your time looking.{0D},,2 isla(s) 91 inline
65,0x1F5F,redirect,0x1EAA,34,You mean it's not on the colony?{0D},,
66,0x1F80,redirect,0x1ECC,6,....{0D},,
67,0x1F87,redirect,0x1ED2,16,Is it on Home?{0D},,
68,0x1FA0,redirect,0x1EE2,39,"That's for you to find out, isn't it?{0D}",,2 isla(s) 91 inline
69,0x1FA9,redirect,0x1F0F,8,"""Them""{0D}",,
70,0x1FB2,redirect,0x1F17,15,"Who's ""them""?{0D}",,
71,0x1FC1,redirect,0x1F26,37,"I can't say.  Not out here, anyway.{0D}",,
72,0x1FE6,redirect,0x1F4B,17,Is it Tokugawa?{0D},,
