id,jp_addr,tipo,destino,bytes,original,traduccion,notas
0,0x226E,redirect,0x209C,7,nojiri,,
1,0x2275,redirect,0x20A3,1,,,
2,0x229E,redirect,0x20A4,1,,,
3,0x22B7,redirect,0x20A5,1,,,
4,0x22F2,redirect,0x20A6,1,,,
5,0x2311,redirect,0x20A7,1,,,
6,0x2320,redirect,0x20A8,12,Go to sleep,,
7,0x2339,redirect,0x20B4,7,System,,1 isla(s) 91 inline
8,0x2342,redirect,0x20BE,73,"We've only just left Home.  I don't\nmind talking, if you're in the mood.",,2 isla(s) 91 inline
9,0x239D,redirect,0x210D,77,Why don't we talk for a bit? We\nwon't be arriving at Beyond for a\nwhile yet.,,1 isla(s) 91 inline
10,0x23DC,redirect,0x215D,40,"If you're bored, I don't mind\nchatting.",,1 isla(s) 91 inline
11,0x23FB,redirect,0x2188,45,You don't want to talk? It'll help\nyour SAS.,,1 isla(s) 91 inline
12,0x242F,redirect,0x21B8,5,Look,,
13,0x2434,redirect,0x21BD,47,Kinda hard trying to judge myself\nobjectively.,,1 isla(s) 91 inline
14,0x245B,redirect,0x21EF,27,Jonathan Ingram.  It's me.,,cadena 92: 2 fragmentos unidos
15,0x247E,redirect,0x2223,33,I must look like hell right now.,,
16,0x24A1,redirect,0x2244,28,What sort of badge is that?,,
17,0x24B6,redirect,0x2260,56,"Oh, just this thing I have.  Kind of\na good luck charm.",,2 isla(s) 91 inline
18,0x24E3,redirect,0x22A1,58,(It's my Policenauts badge I always\nwear around my neck.),,1 isla(s) 91 inline
19,0x2518,redirect,0x22DE,34,What's that crest on your jacket?,,1 isla(s) 91 inline
20,0x2529,redirect,0x2303,34,This? It's the Policenauts crest.,,2 isla(s) 91 inline
21,0x254A,redirect,0x232B,54,The Policenauts again? You must\nbe a big fan of them.,,2 isla(s) 91 inline
22,0x256B,redirect,0x2367,41,Is that also related to the\nPolicenauts?,,
23,0x2586,redirect,0x2390,47,The Policenauts? They're from\nback in the day.,,1 isla(s) 91 inline
24,0x25AB,redirect,0x23C2,63,(It's the Policenauts crest.  This\nthing is 30 years old now.),,2 isla(s) 91 inline
25,0x25E2,redirect,0x2407,82,You don't see many watches like\nthose nowadays.  Is that a\nradio-controlled type?,,3 isla(s) 91 inline
26,0x2617,redirect,0x2462,133,"Yeah, this model is actually one of\nthe first watches ever used in\nouter space.{80238057}It's been modified into a\nradio-controlled watch.",,4 isla(s) 91 inline
27,0x2662,redirect,0x24F3,20,We're almost there.,,
28,0x2679,redirect,0x2507,22,Day 2.  Not long now.,,1 isla(s) 91 inline
29,0x2698,redirect,0x2520,51,Another 12 hours or so and it'll\nhave been 2 days.,,2 isla(s) 91 inline
30,0x26B5,redirect,0x2559,35,"Finally, the end of the first day.",,1 isla(s) 91 inline
31,0x26CC,redirect,0x257F,65,"Let's see, we've already been in\nthe air for overrr... 12 hours.",,2 isla(s) 91 inline
32,0x26F7,redirect,0x25C6,37,We just left Home not that long\nago.,,1 isla(s) 91 inline
33,0x2736,redirect,0x25EE,81,You're better off leaving the belt\nbuckled even if it is a little\nuncomfortable.,,1 isla(s) 91 inline
34,0x2779,redirect,0x2642,79,"I thought I'd be used to zero\ngravity, but I suppose that was a\nlong time ago.",,2 isla(s) 91 inline
35,0x27B8,redirect,0x2697,34,Only a little bit left to go now.,,2 isla(s) 91 inline
36,0x27CF,redirect,0x26BF,92,I'm guessing you're a heavy\nsmoker.{80238057}Did you know that smoking isn't\npermitted on Beyond?,,2 isla(s) 91 inline
37,0x2828,redirect,0x2721,54,It's just to help my nerves.  I'm\nnot gonna light it.,,1 isla(s) 91 inline
38,0x284B,redirect,0x275A,44,I'm surprised they let you board\nwith that.,,1 isla(s) 91 inline
39,0x286E,redirect,0x2789,32,"It got pretty ugly, believe me.",,
40,0x2891,redirect,0x27A9,6,I do.,,
41,0x289C,redirect,0x27AF,26,Is that a bent cigarette?,,1 isla(s) 91 inline
42,0x28B1,redirect,0x27CC,169,"Sort of.  This is a mixed cigarette,\nthe only cigarette that gives off\nsecondary smoke anymore.{80238057}It's a type of bent cigarette. \nThey're hard to come by even on\nHome.",,4 isla(s) 91 inline
43,0x290C,redirect,0x2881,51,Guess I'll be saying goodbye to\nthese for a while.,,3 isla(s) 91 inline
44,0x2951,redirect,0x28BD,6,Light,,
45,0x295C,redirect,0x28C3,41,Smoking is prohibited onboard the\nplane.,,
46,0x296F,redirect,0x28EC,48,The smoke detector will go off if\nyou light it!,,1 isla(s) 91 inline
